Wavelength (nm),Background Light (W)
325.0,1.6841305570000002e-08
335.0,1.6003357046000003e-08
345.0,1.5476871698e-08
355.0,1.5178203689999994e-08
365.0,1.5158409155999994e-08
375.0,1.4564024572000004e-08
385.0,1.3607809658000003e-08
395.0,1.2782060126000003e-08
405.0,1.2184244213999999e-08
415.0,1.1829699754e-08
425.0,1.1476389834e-08
435.0,1.1237320411999998e-08
445.0,1.1016143248000002e-08
455.0,1.0804346038e-08
465.0,1.0616508912e-08
475.0,1.0439051924000002e-08
485.0,1.0218582750000002e-08
495.0,1.0067225124400004e-08
505.0,9.848787792999997e-09
515.0,9.614805857999993e-09
525.0,9.434358893800002e-09
535.0,9.218233039799999e-09
545.0,9.0157601724e-09
555.0,8.794087822399995e-09
565.0,8.642485731200004e-09
575.0,8.451012903799996e-09
585.0,8.289086128399999e-09
595.0,8.116111428e-09
605.0,7.954848566599999e-09
615.0,7.8311568614e-09
625.0,7.660374095199999e-09
635.0,7.5255660116e-09
645.0,7.380949806999998e-09
655.0,7.287749319800001e-09
665.0,7.216117552400002e-09
675.0,7.130627191000002e-09
685.0,7.017679841200001e-09
695.0,6.926979185599998e-09
705.0,6.786745156400003e-09
715.0,6.671374252000003e-09
725.0,6.570541933200002e-09
735.0,6.457648211400001e-09
745.0,6.359482834600002e-09
755.0,6.273898165800002e-09
765.0,6.191589597200002e-09
775.0,6.089946841799999e-09
785.0,5.966258019400001e-09
795.0,5.8989801496e-09
805.0,5.793875220200001e-09
815.0,5.683725376199999e-09
825.0,5.618640869000004e-09
835.0,5.536872907e-09
845.0,5.449867436399998e-09
