Wavelength (nm),Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10
350.0,6.4959523198e-08,6.519197526399998e-08,6.507032665200002e-08,6.534493905799997e-08,6.5108871746e-08,6.500167842000001e-08,6.514862007999998e-08,6.531603133599999e-08,6.499444808000002e-08,6.525098896399998e-08
360.0,8.6640360446e-08,8.6962224654e-08,8.699104824799997e-08,8.671482163999997e-08,8.6664378356e-08,8.6858938172e-08,8.675445243799999e-08,8.6949016942e-08,8.689256914599998e-08,8.678207891000002e-08
370.0,1.09058304064e-07,1.0945672739000004e-07,1.0926225837599999e-07,1.0965593515199998e-07,1.0899071793199998e-07,1.0900850535200001e-07,1.0887688188999997e-07,1.0916265352400004e-07,1.09327478138e-07,1.0953498625399999e-07
380.0,1.4157058786e-07,1.4239872092000004e-07,1.4165486284e-07,1.4206949491999998e-07,1.4123012331999997e-07,1.4146272174e-07,1.4139530097999997e-07,1.4212792277999997e-07,1.4168632356e-07,1.414132782e-07
390.0,2.0676658981999998e-07,2.0742708047999993e-07,2.0712943495999995e-07,2.0773944470000005e-07,2.0731454321999998e-07,2.0652889197999995e-07,2.0750701515999998e-07,2.0737869844e-07,2.0653309862000006e-07,2.0805076480000005e-07
400.0,2.92994464e-07,2.9219747096000005e-07,2.914393792e-07,2.9201193746e-07,2.9280992178e-07,2.9300044726e-07,2.9209074286e-07,2.9255656494000005e-07,2.924258893999999e-07,2.9142641782e-07
410.0,3.8541155787999994e-07,3.855851633599999e-07,3.8461163567999996e-07,3.872320189799999e-07,3.8613379566e-07,3.8664022724e-07,3.8672463178e-07,3.8570601136e-07,3.8612228708e-07,3.8812785486000004e-07
420.0,4.8791176822e-07,4.932402083000001e-07,4.914100714000001e-07,4.902818278999997e-07,4.889646220599999e-07,4.892867048800002e-07,4.9071935056e-07,4.915850712399998e-07,4.898275545600001e-07,4.9099675324e-07
430.0,5.980274898399999e-07,6.0224409018e-07,5.989758209800001e-07,6.0021935606e-07,5.9636065772e-07,5.995462685799999e-07,6.017526698200001e-07,6.005799832800001e-07,5.9955353326e-07,5.997324797e-07
440.0,7.097702439799999e-07,7.056515755200004e-07,7.057172093200001e-07,7.0978975824e-07,7.068293461399998e-07,7.073996153199999e-07,7.072940753e-07,7.090438930599998e-07,7.066741432199998e-07,7.030547943200002e-07
450.0,8.092162477199998e-07,8.161371067599999e-07,8.150976281800002e-07,8.106842120200003e-07,8.088051571999999e-07,8.133767631000004e-07,8.1500115584e-07,8.120322286200002e-07,8.155460977799998e-07,8.143875471000001e-07
460.0,9.128294799799999e-07,9.218706406000002e-07,9.171929242799998e-07,9.181964482599999e-07,9.125544823199998e-07,9.1103679742e-07,9.1503981824e-07,9.218245485e-07,9.1595879668e-07,9.136169192999996e-07
470.0,1.0127497068799998e-06,1.0125854943000002e-06,1.00635711102e-06,1.0125628740199996e-06,1.0101583219800002e-06,1.01062917698e-06,1.0094696346599998e-06,1.0151433803e-06,1.00990948546e-06,1.0128033404800001e-06
480.0,1.1021657382399996e-06,1.10527738842e-06,1.0970812608400003e-06,1.1005922613e-06,1.0995132232199997e-06,1.0988506936000002e-06,1.1004946638600003e-06,1.09921392632e-06,1.09803566436e-06,1.1041975516e-06
490.0,1.17992238106e-06,1.1811158522400001e-06,1.1808058047399996e-06,1.1852720266e-06,1.1791694164000002e-06,1.1757186710599999e-06,1.17810801816e-06,1.1771327813e-06,1.1820886398200002e-06,1.18709606526e-06
500.0,1.2457234742000002e-06,1.2499189325999998e-06,1.2362233078e-06,1.2460281814e-06,1.2398117678000004e-06,1.2454227516e-06,1.2439591776000001e-06,1.2429656111999996e-06,1.2398267110000002e-06,1.2421507739999997e-06
510.0,1.3069997726e-06,1.3025799604e-06,1.3002904977999998e-06,1.3060435075999996e-06,1.3024084796000004e-06,1.2973305762e-06,1.3053220821999998e-06,1.3000966346e-06,1.3019821082e-06,1.3054580150000003e-06
520.0,1.3448905695999998e-06,1.3602228144e-06,1.3506435312000002e-06,1.3525090727999998e-06,1.346828626e-06,1.3523042142e-06,1.3486926352000001e-06,1.3484114517999998e-06,1.3491861914000002e-06,1.3499670466e-06
530.0,1.3811244681999998e-06,1.3772412554e-06,1.3803111034e-06,1.3790257821999997e-06,1.3764964658000002e-06,1.3782795236000006e-06,1.3763180274e-06,1.376781124e-06,1.3783215487999998e-06,1.3808670967999998e-06
540.0,1.400007322e-06,1.4020962095999998e-06,1.3987599960000002e-06,1.4033961635999997e-06,1.3995294606000003e-06,1.4002101192000005e-06,1.4003855243999996e-06,1.3979948947999996e-06,1.3978454652000002e-06,1.4061982319999997e-06
550.0,1.4043250763999998e-06,1.4102368935999998e-06,1.4082162145999999e-06,1.4090249036000002e-06,1.4055483252000001e-06,1.4064951938000002e-06,1.4060037597999995e-06,1.4074329058e-06,1.4092329074000001e-06,1.404865134e-06
560.0,1.391878936e-06,1.3920657806e-06,1.3934540722000003e-06,1.3903528000000002e-06,1.3914860531999996e-06,1.3917073148000002e-06,1.3946376456000005e-06,1.3934423559999994e-06,1.3883564974e-06,1.3962168784000002e-06
570.0,1.4804759943999995e-06,1.4859524729999997e-06,1.4821377549999998e-06,1.4893634784e-06,1.4821916006e-06,1.4816735415999998e-06,1.4746092668000008e-06,1.4807720209999997e-06,1.4827029034000001e-06,1.4853671519999996e-06
580.0,1.4822084429999996e-06,1.4857710425999996e-06,1.4896168152e-06,1.4993826428000003e-06,1.4886816985999995e-06,1.4817277178000004e-06,1.4875621904000005e-06,1.4873844323999997e-06,1.4824915778000002e-06,1.4931530446e-06
590.0,1.516769290999999e-06,1.514963507e-06,1.5151698993999995e-06,1.5211612637999999e-06,1.5124225021999993e-06,1.5191555667999997e-06,1.5191039411999993e-06,1.5146023662000003e-06,1.5134608363999997e-06,1.5217739245999996e-06
600.0,1.5159508516e-06,1.5221432316000003e-06,1.516728078e-06,1.5187310940000005e-06,1.5107947864000004e-06,1.5138404135999996e-06,1.5140615869999997e-06,1.5179223080000004e-06,1.5180107494000003e-06,1.5127473014e-06
610.0,1.4966263982000002e-06,1.5005643041999997e-06,1.5002675768e-06,1.4930408995999998e-06,1.4942463913999997e-06,1.4934365684000004e-06,1.49979774e-06,1.4922063677999997e-06,1.501553413e-06,1.4980544508000004e-06
620.0,1.4655838335999995e-06,1.4646985506e-06,1.4605450133999998e-06,1.4676757335999997e-06,1.4652078834000006e-06,1.4604540414e-06,1.4649046854e-06,1.4568219716e-06,1.4590291108000002e-06,1.4625095917999997e-06
630.0,1.4226371079999997e-06,1.4281745185999994e-06,1.4334973267999997e-06,1.4287169122e-06,1.4284069976000003e-06,1.4252597865999993e-06,1.4248783080000002e-06,1.427733429e-06,1.4317687528000003e-06,1.4303441432e-06
640.0,1.3797167454e-06,1.3875520287999994e-06,1.3843875379999997e-06,1.3822973667999998e-06,1.3806100203999998e-06,1.3845510402e-06,1.3860632199999995e-06,1.3769200994000002e-06,1.3801020876e-06,1.3827702974000001e-06
650.0,1.3327056130000003e-06,1.3277289690000002e-06,1.3245050037999996e-06,1.3303207060000004e-06,1.3363892526000005e-06,1.3278668774e-06,1.3330676370000002e-06,1.3343031702e-06,1.3278668805999998e-06,1.3320332188e-06
660.0,1.2750981164e-06,1.2820799656000003e-06,1.286264539e-06,1.2869384001999996e-06,1.2789882611999998e-06,1.2787787296e-06,1.2795375022000004e-06,1.2788976754000002e-06,1.28073795e-06,1.2843053241999997e-06
670.0,1.2369483970999997e-06,1.2405666236000002e-06,1.23139486694e-06,1.22732790204e-06,1.23501866064e-06,1.23817130318e-06,1.2346764906799996e-06,1.2374252249e-06,1.2336443407199999e-06,1.2346821159400004e-06
680.0,1.1822916104800002e-06,1.1809349258399998e-06,1.18041440792e-06,1.18062484932e-06,1.1810290607e-06,1.1797720558799998e-06,1.17787271218e-06,1.17606195402e-06,1.1835153763199998e-06,1.1788528600399998e-06
690.0,1.2019000055199997e-06,1.2036288061399998e-06,1.1977302648200002e-06,1.19898606648e-06,1.20121502092e-06,1.2064611741400003e-06,1.2034167773e-06,1.2021935595200002e-06,1.1967625365600001e-06,1.2079018685999997e-06
700.0,1.2444678826000003e-06,1.2446656404e-06,1.2459058168e-06,1.2504496658e-06,1.2423028896e-06,1.2514546439999996e-06,1.237769743e-06,1.2441364378e-06,1.2469749954e-06,1.2448100031999998e-06
710.0,1.2720802119999997e-06,1.2733631841999997e-06,1.2793415769999997e-06,1.2741886888e-06,1.2736208212000002e-06,1.2743832484000001e-06,1.2781690514e-06,1.2765022532000004e-06,1.2761078800000004e-06,1.2827330784e-06
720.0,1.2971921199999998e-06,1.2953578312e-06,1.3025966151999999e-06,1.297663659e-06,1.2966635947999998e-06,1.3005913184000002e-06,1.2965340672e-06,1.2891294392000002e-06,1.2984927436000002e-06,1.2944043902000002e-06
730.0,1.2926744042e-06,1.3028249119999998e-06,1.2941528852e-06,1.3023048854000001e-06,1.2996079406e-06,1.2967274758000002e-06,1.3031817938000004e-06,1.2980428001999999e-06,1.2912825969999997e-06,1.2926489062e-06
740.0,1.2883488128000004e-06,1.2871667533999998e-06,1.2874372216e-06,1.2793479709999998e-06,1.2819275184e-06,1.2841514210000006e-06,1.2868862408000001e-06,1.2857642604e-06,1.2905727294e-06,1.2934928874e-06
750.0,1.2652952552000004e-06,1.2641547779999998e-06,1.271254447399999e-06,1.2714124303999999e-06,1.2660358342000002e-06,1.2706520943999997e-06,1.2707903201999997e-06,1.2655124766e-06,1.2639227244e-06,1.2634882346000002e-06
760.0,1.2300123279999997e-06,1.2325109287799997e-06,1.2311815890200001e-06,1.22628629916e-06,1.2231036243999999e-06,1.23143388924e-06,1.2284695249600002e-06,1.2331561946800002e-06,1.2311767547800002e-06,1.2339033496600004e-06
770.0,1.1926354217399996e-06,1.1874733763599999e-06,1.19162120658e-06,1.19035340666e-06,1.1850382772399997e-06,1.19156859856e-06,1.18988934236e-06,1.1869710305800003e-06,1.1878226024999997e-06,1.1943290062400001e-06
780.0,1.1169726522400002e-06,1.1193560273e-06,1.1182726817400002e-06,1.1239343404799998e-06,1.1221209277999998e-06,1.12173468778e-06,1.11840927738e-06,1.1204393720200001e-06,1.1221962859999997e-06,1.1205759803599998e-06
790.0,1.0705039228000004e-06,1.0654536954e-06,1.07093986356e-06,1.07204357052e-06,1.06573658526e-06,1.06833820874e-06,1.0663719138800003e-06,1.0734997561599998e-06,1.07172821818e-06,1.0713201046600001e-06
800.0,1.0353511641999997e-06,1.0369585014999998e-06,1.0374608071000001e-06,1.03722335164e-06,1.0321090727e-06,1.03647448132e-06,1.0384790819600002e-06,1.03376209834e-06,1.03645165968e-06,1.0404380441200002e-06
810.0,1.00665521464e-06,1.0086515009599994e-06,1.0091865747600001e-06,9.941107511799999e-07,1.0125137800599998e-06,1.00880888208e-06,1.0143706948999996e-06,1.00933044122e-06,1.0111064489599999e-06,1.00815694624e-06
820.0,9.852976073999997e-07,9.8025809524e-07,9.812411944000003e-07,9.834819774400003e-07,9.797488405799997e-07,9.805990764599999e-07,9.8232615188e-07,9.822198581799997e-07,9.7586955556e-07,9.852665909399997e-07
830.0,9.621254921400002e-07,9.705929848e-07,9.670169390000002e-07,9.5875413816e-07,9.614241986999998e-07,9.6711278164e-07,9.649305645e-07,9.670779078399999e-07,9.632448905399997e-07,9.688812045400002e-07
840.0,9.640899741999998e-07,9.6242115658e-07,9.656000784600003e-07,9.631933483e-07,9.662264201000002e-07,9.6449324954e-07,9.619878530000002e-07,9.6800248558e-07,9.588089502599998e-07,9.602589737799997e-07
850.0,9.880596234799999e-07,9.9036206278e-07,9.901250450199997e-07,9.899303472e-07,9.827563479000001e-07,9.844535490199997e-07,9.846990416000003e-07,9.847032763000001e-07,9.861253696799997e-07,9.8902037258e-07
