Wavelength (nm),Current (A)
350.018,0.0109382673256
354.986,0.015050317724000005
360.033,0.020213544768
365.0,0.026016209572000012
369.966,0.032335648907999996
375.011,0.040118309943999994
379.975,0.051093153844
385.018,0.068195629844
389.98,0.089789995204
395.021,0.11586787237200002
399.982,0.144745779648
405.021,0.17745381892799994
409.98,0.2138238457599999
415.017,0.25393525456
419.974,0.2954595346399999
425.009,0.33688283540000014
429.964,0.37731708767999994
434.997,0.41742525756000026
440.03,0.45757075408000003
444.981,0.496081973
450.011,0.5360216206399998
