Wavelength (nm),Current (A)
299.97,0.012317670202
305.027,0.012037276226000005
310.002,0.012378871042000002
314.976,0.012585981302000004
320.03,0.012578780864
325.003,0.012891303084000005
329.975,0.013344693736
335.027,0.013769393289999996
339.997,0.016684084341999993
344.967,0.02176720986200001
350.016,0.029202741008000004
354.984,0.039095395761999996
360.032,0.05146467895999998
364.999,0.06454100127599999
369.964,0.07917984301800002
375.009,0.096512847194
379.973,0.12154700971999997
385.016,0.15956251932
389.978,0.2099761284
395.02,0.26983949726
399.98,0.33520235077999994
405.019,0.40969025560000005
409.978,0.49288449532
415.015,0.5847595686999999
419.972,0.6784459848600001
425.007,0.6882421428800001
429.962,0.7920344086399999
434.995,0.8895156545999999
440.028,0.9610429639399999
444.979,1.0602862570000002
450.01,1.1504988216000003
455.039,1.2199204176
459.987,1.3118442843999998
465.014,1.4132280443999996
469.961,1.4909058802
474.985,1.5572834584
480.009,1.6366599532000001
485.032,1.7196307314000001
489.973,1.7870499146000003
494.994,1.8450686638000005
500.013,1.9099182510000006
505.031,1.9789258885999998
509.968,2.0339598999999997
514.983,2.0768538558
519.997,2.115230264999999
525.01,2.1626322314
530.022,2.2183019017999994
535.033,2.2640646409999996
539.962,2.2982366038
544.97,2.3180345148
549.977,2.3330741547999994
554.982,2.3377643581999994
559.986,2.356819157599999
564.989,2.4496149492000003
569.99,2.484857897
574.99,2.4890398218
579.989,2.4995987362
584.986,2.5334579991999995
589.982,2.5737312173999993
594.976,2.616623793
599.969,2.6519095942
604.961,2.6655422501999997
610.03,2.6493103176
615.018,2.6180001535999997
620.005,2.5685238222000004
624.991,2.5169306895999997
629.975,2.4872677564000005
635.037,2.464985689
640.018,2.454365053
644.998,2.4463928078
649.976,2.4305400703999993
655.031,2.4080479671999995
660.006,2.361197433
664.979,2.3107082407999995
670.03,2.2528318119999997
675.0,2.1993331236
679.968,2.1433187100000004
684.981,2.1482124608
690.022,2.2113282193999995
694.982,2.2792396174
700.02,2.339612455
704.977,2.3886007689999995
710.01,2.4366941963999995
714.964,2.4621933030000003
719.994,2.4745619770000005
725.023,2.4736267804
729.971,2.4688633582000006
734.996,2.452391729
740.02,2.4417806958
744.963,2.427502111600001
749.982,2.4065391202
755.0,2.3843225378
760.016,2.3523848199999997
765.03,2.3084082075999994
769.964,2.245405397
774.974,2.1246617974
779.982,1.8894854636000002
784.989,1.5432222074000004
789.993,1.1285932306000002
794.996,0.72862885904
799.996,0.43436482194
804.995,0.2448764845600001
809.991,0.13491106603999997
814.986,0.07491549575800001
819.979,0.04327748531599998
824.969,0.026462855472000002
830.036,0.017777445523999996
835.022,0.013794486470000004
840.007,0.012226574482000003
844.989,0.010409384674399997
849.969,0.009864620648999999
