Wavelength (nm),Current (A)
299.97,0.014747510887999997
305.027,0.015359366016000003
310.002,0.015397232137999999
314.976,0.015139218088
320.03,0.014546407800000001
325.003,0.015719235324000002
329.975,0.015738089934
335.027,0.017426938268
339.997,0.022571665484000004
344.967,0.03176120975999999
350.016,0.04684838081399999
354.984,0.064794208054
360.032,0.08806420633800002
364.999,0.11142781442
369.964,0.13749267320000003
375.009,0.16962034797999995
379.973,0.21440903343999998
385.016,0.2846835596599999
389.978,0.37666085542
395.02,0.4887826539
399.98,0.6058810897
405.019,0.74644371706
409.978,0.9015554387399999
415.015,1.0739934110000002
419.972,1.2516239901999997
425.007,1.2727170606000002
429.962,1.4687230398000006
434.995,1.6494273370000005
440.028,1.7860277967999998
444.979,1.9565603803999998
450.01,2.151513289399999
455.039,2.2881969260000004
459.987,2.4567393822000003
465.014,2.6574419596000007
469.961,2.812627081600001
474.985,2.9440813630000005
480.009,3.0856160502000005
485.032,3.2426318064000004
489.973,3.364988947
494.994,3.489970940599999
500.013,3.620880055400001
505.031,3.7352963539999995
509.968,3.8638168904000008
514.983,3.946140676600001
519.997,4.016556406000001
525.01,4.110904612199999
530.022,4.213154101600001
535.033,4.3100694232
539.962,4.371343912400001
544.97,4.412312797999999
549.977,4.442184882
554.982,4.445358748400001
559.986,4.486783356600001
564.989,4.658797765000002
569.99,4.724761758
574.99,4.732722849999999
579.989,4.760699848600001
584.986,4.817098774999998
589.982,4.8957185986
594.976,4.971024412799998
599.969,5.0380312688
604.961,5.062300924799999
610.03,5.0165182354
615.018,4.9502106798
620.005,4.857964263
624.991,4.7643008372
629.975,4.710562548
635.037,4.660508027200001
640.018,4.640948252
644.998,4.6277632378
649.976,4.606185230999999
655.031,4.549593958200003
660.006,4.4790447098
664.979,4.3809801244
670.03,4.2688209858
675.0,4.162365574799999
679.968,4.0626814602
684.981,4.051539741399999
690.022,4.1674143072000005
694.982,4.2981284756
700.02,4.4138570354
704.977,4.511033701399999
710.01,4.5838567017999985
714.964,4.6313341754
719.994,4.653732475800001
725.023,4.659843191599999
729.971,4.6492311714
734.996,4.6279145766
740.02,4.5928504522
744.963,4.5522368382
749.982,4.5336975526
755.0,4.4786282964
760.016,4.418769354799998
765.03,4.3461398258
769.964,4.2380806682
774.974,4.0563289980000015
779.982,3.7123496145999995
784.989,3.2149070546000003
789.993,2.568848971599999
794.996,1.8302543830000007
799.996,1.1734565498
804.995,0.6976311022199997
809.991,0.3909472627800001
814.986,0.21301175988000004
819.979,0.11675552173999997
824.969,0.06510418215999998
830.036,0.038628285847999995
835.022,0.025101468884
840.007,0.017450083891999996
844.989,0.013575915588
849.969,0.011828883116599995
