Wavelength (nm),Power Measurements (W)
350.018,4.473007306950002e-08
360.033,8.286892018699995e-08
369.966,1.2238492639849998e-07
379.975,1.8105383218000011e-07
389.98,2.9546689347000015e-07
399.982,4.3917037985999994e-07
409.98,5.925079969249997e-07
419.974,7.604716023200004e-07
429.964,9.312235398750002e-07
440.03,1.0951486260199996e-06
450.011,1.2512853491999996e-06
459.989,1.3962557259500003e-06
469.962,1.5214982330000002e-06
480.011,1.6240007644499994e-06
489.975,1.7788148487500003e-06
500.015,1.8648870010499994e-06
509.97,1.9458230997999986e-06
519.999,2.0092143801500013e-06
530.024,2.04485479375e-06
539.965,2.0759155813000004e-06
549.979,2.077804715950001e-06
559.988,2.0445659912000013e-06
569.992,2.108321337950001e-06
579.991,2.1059375789499993e-06
589.984,2.129803119199999e-06
599.971,2.1214911450000007e-06
610.032,2.079369074750001e-06
620.008,2.0303162872e-06
629.978,1.9673909011e-06
640.021,1.8908050042499993e-06
649.978,1.8130615027999995e-06
660.009,1.7389601323499989e-06
670.032,1.663622138699999e-06
679.971,1.5800340831000003e-06
690.025,1.604253295100001e-06
700.022,1.6573159370000007e-06
710.013,1.6919997092000003e-06
719.997,1.7128710211999997e-06
729.974,1.7101561640499988e-06
740.022,1.6902584544499998e-06
749.985,1.6562352192e-06
760.019,1.60147613305e-06
769.967,1.544466562849999e-06
779.985,1.4509218359500002e-06
789.996,1.3841343070000007e-06
799.999,1.3398810707499996e-06
809.995,1.2983211052e-06
819.982,1.2615782710000006e-06
830.039,1.2398790703500002e-06
840.01,1.2429091859150005e-06
849.972,1.2719046260999995e-06
