Wavelength (nm),Current (A)
350.016,5.076983106499999e-09
360.032,1.0282420097500001e-08
369.964,1.5187018829999996e-08
379.973,2.19402361555e-08
389.978,3.8409220463499996e-08
399.98,5.635272866e-08
409.978,7.240438613999996e-08
419.972,9.909515558999999e-08
429.962,1.1705186019999995e-07
440.028,1.3069307101999994e-07
450.01,1.45735372865e-07
459.987,1.7557954311000004e-07
469.961,2.1056411908000005e-07
480.009,2.25391746535e-07
489.973,2.3014916299e-07
500.013,2.4652164434e-07
509.968,2.803916766750001e-07
519.997,3.1376729487999996e-07
530.022,3.311098692450001e-07
539.962,3.26919419295e-07
549.977,3.19034435975e-07
559.986,3.313132369649999e-07
569.99,3.6661924625500017e-07
579.989,3.961444987950001e-07
589.982,4.2032066752999977e-07
599.969,4.22956240395e-07
610.03,4.0101805708000006e-07
620.005,3.7424068212500023e-07
629.975,3.6168573351999997e-07
640.018,3.689222512150002e-07
649.976,3.8367879987499995e-07
660.006,3.8960647560499993e-07
670.03,3.7986047003499996e-07
679.968,3.594073417099998e-07
690.022,3.7693342729e-07
700.02,3.834900686650002e-07
710.01,3.8435148023999995e-07
719.994,3.8327574371000016e-07
729.971,3.8250121117499986e-07
740.02,3.841954669699999e-07
749.982,3.8760913966499997e-07
760.016,3.863875872949998e-07
769.964,3.670593361949997e-07
779.982,2.8065414189500005e-07
789.993,1.3777522275999998e-07
799.996,4.8703256999000013e-08
809.991,1.51950682285e-08
819.979,4.908764817900001e-09
830.036,1.7938134257000007e-09
840.007,8.78849012e-10
849.969,5.933775987999997e-10
