Wavelength (nm),Power (W)
350.016,9.465632469400002e-08
360.032,1.2044097529999993e-07
369.964,1.4498311271499994e-07
379.973,1.8133671191499994e-07
389.978,2.446443162599999e-07
399.98,3.1826698629500006e-07
409.978,3.9300870953499996e-07
419.972,4.693965139600001e-07
429.962,5.077912412050001e-07
440.028,5.827759080100002e-07
450.01,6.617388709450002e-07
459.987,7.395882619349998e-07
469.961,8.185979044100003e-07
480.009,8.845296867800005e-07
489.973,9.5001439824e-07
500.013,1.0036569901499999e-06
509.968,1.05461780903e-06
519.997,1.08209810838e-06
530.022,1.1187307862449999e-06
539.962,1.1414797072899997e-06
549.977,1.1380952185400002e-06
559.986,1.1491668061450002e-06
569.99,1.18004287985e-06
579.989,1.1776425673499998e-06
589.982,1.1935324344e-06
599.969,1.2054852888499998e-06
610.03,1.1852665728499999e-06
620.005,1.1432375527500004e-06
629.975,1.1088325940350004e-06
640.018,1.0875415945149995e-06
649.976,1.0699692802499995e-06
660.006,1.032575570655e-06
670.03,9.8355196442e-07
679.968,9.318455983649996e-07
690.022,9.74586308440001e-07
700.02,1.0098170867899995e-06
710.01,1.0285779594899996e-06
719.994,1.032181365725e-06
729.971,1.0189199364699997e-06
740.02,9.993043816050005e-07
749.982,9.805244850599995e-07
760.016,9.5455169898e-07
769.964,9.225695224999997e-07
779.982,8.684176552149999e-07
789.993,8.22717794865e-07
799.996,7.912817460249999e-07
809.991,7.8038560477e-07
819.979,7.4991697002e-07
830.036,7.309440374700001e-07
840.007,7.248520049099999e-07
849.969,7.300512401950002e-07
