Wavelength (nm),Current (A)
299.97,6.5445060029999985e-09
310.002,7.1772166514999985e-09
320.03,7.248033088499996e-09
329.975,7.515038494000001e-09
339.997,1.2261190603000005e-08
350.016,2.9290907823e-08
360.032,5.7774025385e-08
369.964,9.259079192999998e-08
379.973,1.4645215368999997e-07
389.978,2.60317005275e-07
399.98,4.2600379976499986e-07
409.978,6.408706470500002e-07
419.972,9.001090295999998e-07
429.962,1.061949066949999e-06
440.028,1.2965739559499996e-06
450.01,1.5678265559499997e-06
459.987,1.7999597226999994e-06
469.961,2.0643273496999998e-06
480.009,2.277837331050001e-06
489.973,2.4968448472999993e-06
500.013,2.679430327449999e-06
509.968,2.8614631721500013e-06
519.997,2.979330596750001e-06
530.022,3.130004448999999e-06
539.962,3.2457476543499995e-06
549.977,3.2904862571500007e-06
559.986,3.3309509156000003e-06
569.99,3.511612112149998e-06
579.989,3.5387779780500023e-06
589.982,3.6432320857e-06
599.969,3.751642737299999e-06
610.03,3.7455967950999995e-06
620.005,3.61823309885e-06
629.975,3.4957956503499997e-06
640.018,3.446628539399999e-06
649.976,3.419872157449999e-06
660.006,3.3301347801999985e-06
670.03,3.1767737864499996e-06
679.968,3.023387815950001e-06
690.022,3.3958851670500004e-06
700.02,3.585354227999999e-06
710.01,3.7134728786499993e-06
719.994,3.7559010910999987e-06
729.971,3.732431468850001e-06
740.02,3.6811218619500014e-06
749.982,3.619537694200001e-06
760.016,3.5324997615e-06
769.964,3.38638349515e-06
779.982,3.0513247512000006e-06
789.993,2.4261272522999993e-06
799.996,1.3808533893e-06
809.991,5.219852494e-07
819.979,1.5866329601000006e-07
830.036,4.7327981789500004e-08
840.007,1.6731936328999998e-08
849.969,8.194782758499998e-09
