Wavelength (nm),Power (W)
299.97,8.17508107175e-08
310.002,7.323817047499994e-08
320.03,6.902520997299994e-08
329.975,6.673338912350003e-08
339.997,7.332914259050007e-08
350.016,9.681434319700003e-08
360.032,1.3130130749e-07
369.964,1.6525273536500002e-07
379.973,2.142625897599999e-07
389.978,3.1174103952e-07
399.98,4.3443407077000007e-07
409.978,5.678785899449997e-07
419.972,7.107485814400007e-07
429.962,7.834675832949997e-07
440.028,9.121464977800002e-07
450.01,1.0562530792250002e-06
459.987,1.172855307735e-06
469.961,1.2999632049000002e-06
480.009,1.3847973513000003e-06
489.973,1.4761167320499998e-06
500.013,1.5342433627499986e-06
509.968,1.6368014782499984e-06
519.997,1.6640421723499995e-06
530.022,1.7045025361500005e-06
539.962,1.730378040450001e-06
549.977,1.7096187220500006e-06
559.986,1.6911121469999995e-06
569.99,1.7456965420500008e-06
579.989,1.7219164545000003e-06
589.982,1.73104633285e-06
599.969,1.7438834834499999e-06
610.03,1.7079072109000008e-06
620.005,1.6261665346000002e-06
629.975,1.5573868281999986e-06
640.018,1.5162447870000001e-06
649.976,1.4839273556499999e-06
660.006,1.4249302172999995e-06
670.03,1.3462996504999997e-06
679.968,1.262591807550001e-06
690.022,1.4075787158999997e-06
700.02,1.46381903385e-06
710.01,1.5038129954999994e-06
719.994,1.5092980537999995e-06
729.971,1.4881580766999994e-06
740.02,1.4572465068999991e-06
749.982,1.4263906918999994e-06
760.016,1.38283018335e-06
769.964,1.3317527640000007e-06
779.982,1.2416189437500001e-06
789.993,1.1667853006500006e-06
799.996,1.1141246769700003e-06
809.991,1.0854647987950002e-06
819.979,1.0391689803899997e-06
830.036,1.0070198965649998e-06
840.007,9.946007491000001e-07
849.969,1.0025589241e-06
