Wavelength (nm),Current (A)
349.973,3.017175744650001e-09
359.99,5.387375504999997e-09
370.003,9.221313000499993e-09
380.013,1.4798469355499994e-08
390.019,2.4412012954999996e-08
400.022,4.12954885125e-08
410.021,5.980076227500001e-08
420.016,7.538367701000002e-08
430.007,8.939484434499998e-08
439.994,1.1634542476999998e-07
449.977,1.3325205407500002e-07
460.035,1.4459445059000003e-07
470.01,1.6582474623499994e-07
479.98,1.9778766725999992e-07
490.025,2.2015046525500005e-07
499.985,2.2517184137500002e-07
510.021,2.2896655010500008e-07
519.972,2.4572237681000003e-07
529.998,2.7779015942500005e-07
540.019,3.013258781350001e-07
550.034,3.0100884319500007e-07
559.965,2.9691646098499996e-07
569.97,2.97780811775e-07
579.97,3.07853255735e-07
589.964,3.3512335587999994e-07
600.032,3.6290637707499984e-07
610.014,3.685474307349999e-07
619.991,3.5123564696499986e-07
629.962,3.2876562831999996e-07
640.006,3.1418219184499984e-07
649.964,3.071245462750001e-07
659.996,3.021102557e-07
670.021,3.00043201685e-07
680.039,3.0057209037499986e-07
690.015,3.4649438454000007e-07
700.014,3.7085788175499976e-07
710.006,3.7889999601999995e-07
719.99,3.7069051004499994e-07
729.968,3.544127146949999e-07
740.018,3.3873319863e-07
749.981,3.2787486669999995e-07
760.016,3.196412155349999e-07
769.965,3.015178048650001e-07
779.985,2.2638739441999994e-07
789.997,1.0882893942000001e-07
800.001,3.9511039472000016e-08
809.997,1.2478919412000006e-08
819.985,4.079278801699999e-09
829.966,1.56516108955e-09
840.015,8.027235226499998e-10
849.979,5.935181237999998e-10
