Wavelength (nm),Current (A)
349.973,3.177303993350001e-09
359.99,5.960501502500001e-09
370.003,9.431463813999998e-09
380.013,1.55419682305e-08
390.019,2.7011540627e-08
400.022,4.2557200587000006e-08
410.021,6.258057086499998e-08
420.016,8.542933711499998e-08
430.007,9.885822835500002e-08
439.994,1.2018553410999995e-07
449.977,1.4147899960500002e-07
460.035,1.645881515749999e-07
470.01,1.8585885798000005e-07
479.98,2.0683242343999998e-07
490.025,2.2622768115500008e-07
499.985,2.4607261702499996e-07
510.021,2.6280723260499987e-07
519.972,2.7864376946999987e-07
529.998,2.9647678638999986e-07
540.019,3.097858802999999e-07
550.034,3.1936178041e-07
559.965,3.338009826949999e-07
569.97,3.5056841850500006e-07
579.97,3.6189247225499994e-07
589.964,3.7588364147500006e-07
600.032,3.8903663275999995e-07
610.014,3.8965532851999993e-07
619.991,3.7880990884e-07
629.962,3.73156489815e-07
640.006,3.7538222573999995e-07
649.964,3.7455853820500006e-07
659.996,3.6451003311000003e-07
670.021,3.5112079571999993e-07
680.039,3.38947851635e-07
690.015,3.8094009778500023e-07
700.014,4.0349908801499995e-07
710.006,4.2050364374999984e-07
719.99,4.2819054100000003e-07
729.968,4.255008862200001e-07
740.018,4.1588198066e-07
749.981,4.0450377439000005e-07
760.016,3.912119784200003e-07
769.965,3.5827420542999993e-07
779.985,2.53202782615e-07
789.997,1.1601379975499995e-07
800.001,4.189992732599999e-08
809.997,1.3445205858000002e-08
819.985,4.5230431196999985e-09
829.966,1.7298454243499996e-09
840.015,8.665284078000002e-10
849.979,6.226035465499999e-10
