Wavelength (nm),Power (W)
349.973,7.33439984275e-08
359.99,1.0008624336250007e-07
370.003,1.30531956025e-07
380.013,1.832951126499999e-07
390.019,2.735534517850001e-07
400.022,3.838645525900001e-07
410.021,5.056462046350002e-07
420.016,6.369026757949998e-07
430.007,7.063454063649998e-07
439.994,8.296568628900003e-07
449.977,9.487428982949999e-07
460.035,1.07214586881e-06
470.01,1.1837670440849999e-06
479.98,1.2809091389999997e-06
490.025,1.3576743489499996e-06
499.985,1.4307624690500006e-06
510.021,1.4793699448999996e-06
519.972,1.513388500449999e-06
529.998,1.6081643199499993e-06
540.019,1.6237311417999998e-06
550.034,1.6129047682499996e-06
559.965,1.6438216291000003e-06
569.97,1.6683749658999987e-06
579.97,1.6704300496000006e-06
589.964,1.694690176349999e-06
600.032,1.7067706284499997e-06
610.014,1.6672951361e-06
619.991,1.6011444110999997e-06
629.962,1.5531965213999988e-06
640.006,1.5266285790000004e-06
649.964,1.5026831924999991e-06
659.996,1.4429827343499993e-06
670.021,1.3703438968499997e-06
680.039,1.296217131e-06
690.015,1.4288461204500002e-06
700.014,1.4936224373e-06
710.006,1.5335842525999997e-06
719.99,1.5441669135500006e-06
729.968,1.5332897913999998e-06
740.018,1.50822385405e-06
749.981,1.4850407742500008e-06
760.016,1.4468061926500024e-06
769.965,1.3913808019499994e-06
779.985,1.3081965768999993e-06
789.997,1.2438164221999996e-06
800.001,1.1941795711399993e-06
809.997,1.175851033965e-06
819.985,1.126389447934999e-06
829.966,1.1107256121949996e-06
840.015,1.104940502535e-06
849.979,1.1249740626799995e-06
