Wavelength (nm),Current (A)
349.987,3.8545869823e-09
359.993,7.267602819999999e-09
369.995,1.13765918385e-08
379.994,1.814142926799999e-08
389.989,3.1396136226e-08
399.981,4.877596942150003e-08
409.968,6.9812648645e-08
420.032,9.342091445499998e-08
430.012,1.0635229452999997e-07
439.988,1.2787078628499997e-07
450.039,1.5030846643000008e-07
460.007,1.7491650867499997e-07
469.97,1.9757019578000006e-07
480.008,2.196097669449999e-07
489.962,2.406622478699999e-07
499.991,2.613344781250001e-07
510.016,2.7914435649000006e-07
520.035,2.954804108100001e-07
529.97,3.1494020292e-07
539.979,3.34032896275e-07
549.984,3.462404613350001e-07
559.983,3.61266460645e-07
569.976,3.7728914784499995e-07
579.965,3.8435049005999995e-07
590.026,3.9195747542999995e-07
600.003,4.0051413082499996e-07
609.975,3.9801349164e-07
620.019,3.856720347000001e-07
629.978,3.7687693263499997e-07
640.011,3.765622706199999e-07
650.037,3.7420884083999997e-07
659.978,3.6239715406999977e-07
669.991,3.4647930384500004e-07
679.998,3.3361241456e-07
689.98,2.5117722076999994e-07
699.976,2.6188636685e-07
709.965,2.6842203758e-07
720.026,2.6955204796e-07
730.001,2.6614301798500007e-07
739.969,2.5873268437499995e-07
750.008,2.4968724346999996e-07
759.961,2.3960901163999996e-07
769.986,2.197555978300001e-07
780.002,1.5958821106499994e-07
790.011,7.514728380000004e-08
800.013,2.8109549315999998e-08
810.006,9.074958723499998e-09
819.991,3.1255483357499992e-09
829.968,1.3069361496999996e-09
840.015,7.517862262000002e-10
849.976,6.073851891699999e-10
