Wavelength (nm),Power (W)
349.987,9.888725914050005e-08
359.993,1.2618645109999998e-07
369.995,1.5634997310000002e-07
379.994,2.028747064350001e-07
389.989,2.9018261980000006e-07
399.981,3.948119964750002e-07
409.968,5.053287430150001e-07
420.032,6.216297992950003e-07
430.012,6.783656343300002e-07
439.988,7.927921728900003e-07
450.039,9.043764889799998e-07
460.007,1.0230049832300003e-06
469.97,1.1356534563449994e-06
480.008,1.2272245129550005e-06
489.962,1.31272955025e-06
499.991,1.3807505398500001e-06
510.016,1.43075848015e-06
520.035,1.46420795585e-06
529.97,1.5092531082499995e-06
539.979,1.5507615086000004e-06
549.984,1.6070441547e-06
559.983,1.626693432349999e-06
569.976,1.6510542837499998e-06
579.965,1.6329681894500009e-06
590.026,1.6171499383999997e-06
600.003,1.619635919849999e-06
609.975,1.5744104620999996e-06
620.019,1.5056748252000002e-06
629.978,1.4586329496999998e-06
640.011,1.4263454066500006e-06
650.037,1.3948845092e-06
659.978,1.3355778190500002e-06
669.991,1.2645559459049997e-06
679.998,1.1922060310300002e-06
689.98,8.734539543549999e-07
699.976,8.927229694149997e-07
709.965,9.015513675400003e-07
720.026,8.944012540499998e-07
730.001,8.787275091849999e-07
739.969,8.624899655249997e-07
750.008,8.421922359700005e-07
759.961,8.19236840945e-07
769.986,7.922932994149996e-07
780.002,7.460466372550007e-07
790.011,7.05989862685e-07
800.013,6.744308236849999e-07
810.006,6.551287103250001e-07
819.991,6.278144343349999e-07
829.968,6.1560873917e-07
840.015,6.108244204549996e-07
849.976,6.18091561615e-07
