Wavelength (nm),Current (A)
349.987,3.8491456109999995e-09
359.993,7.294739983999999e-09
369.995,1.1577619430000002e-08
379.994,1.8551625110000002e-08
389.989,3.213676584400001e-08
399.981,5.00386766615e-08
409.968,7.165844160499998e-08
420.032,9.5757839985e-08
430.012,1.08683976305e-07
439.988,1.3099222752999994e-07
450.039,1.5418884740500002e-07
460.007,1.79246371015e-07
469.97,2.0212983344499998e-07
480.008,2.2406618902000002e-07
489.962,2.446332080499999e-07
499.991,2.64673616635e-07
510.016,2.8225422023500006e-07
520.035,2.9732596611000005e-07
529.97,3.1507630681999987e-07
539.979,3.3256952786500005e-07
549.984,3.4194022248999995e-07
559.983,3.5609752704000007e-07
569.976,3.7014128303500004e-07
579.965,3.743269974650001e-07
590.026,3.8048735189000014e-07
600.003,3.8727009485999993e-07
609.975,3.8094462799500005e-07
620.019,3.6744651028999996e-07
629.978,3.5927115821e-07
640.011,3.577037513300001e-07
650.037,3.540599675099999e-07
659.978,3.429921784000001e-07
669.991,3.276768288500001e-07
679.998,3.139212884649999e-07
689.98,2.3359810209500004e-07
699.976,2.4311228489000005e-07
709.965,2.4850327918499995e-07
720.026,2.475104076650001e-07
730.001,2.42293182595e-07
739.969,2.3549402831999992e-07
750.008,2.2802728055999994e-07
759.961,2.178755166200001e-07
769.986,1.9565063475e-07
780.002,1.38188225245e-07
790.011,6.496280560499998e-08
800.013,2.5395312044499988e-08
810.006,8.2727080055e-09
819.991,2.9866603288e-09
829.968,1.2867523845500002e-09
840.015,7.644521721999998e-10
849.976,6.077877125e-10
