Wavelength (nm),Current (A)
349.987,3.7587515164499995e-09
359.993,7.157239353000002e-09
369.995,1.1289785292000002e-08
379.994,1.81208791315e-08
389.989,3.14244749295e-08
399.981,4.897469419799998e-08
409.968,7.024905339999998e-08
420.032,9.401441307499999e-08
430.012,1.0704165098500002e-07
439.988,1.2923824453000005e-07
450.039,1.5232071467499997e-07
460.007,1.7725165627500002e-07
469.97,2.0028157163499993e-07
480.008,2.2243419312e-07
489.962,2.4299940634999995e-07
499.991,2.63255146735e-07
510.016,2.8122644758500004e-07
520.035,2.9679528379499987e-07
529.97,3.148793940350001e-07
539.979,3.32710559355e-07
549.984,3.4213961648999983e-07
559.983,3.5644584298499984e-07
569.976,3.7023938700999987e-07
579.965,3.745141727649998e-07
590.026,3.8104928039999995e-07
600.003,3.8765788936e-07
609.975,3.8100086806500015e-07
620.019,3.6757076142499996e-07
629.978,3.596954757950001e-07
640.011,3.578175711399999e-07
650.037,3.5366426989499987e-07
659.978,3.4254607248000007e-07
669.991,3.272190725799999e-07
679.998,3.1327645848999985e-07
689.98,2.3428427696000001e-07
699.976,2.44066333755e-07
709.965,2.4957015585000006e-07
720.026,2.4883057590499987e-07
730.001,2.4376703929000007e-07
739.969,2.3704846667999984e-07
750.008,2.2936876606500003e-07
759.961,2.1869334624500001e-07
769.986,1.96297672355e-07
780.002,1.3855343651499993e-07
790.011,6.521711711500003e-08
800.013,2.5509539398e-08
810.006,8.305780923e-09
819.991,2.9873753129e-09
829.968,1.2857075902999993e-09
840.015,7.614182752999999e-10
849.976,6.105123421999997e-10
