Wavelength (nm),Power (W)
349.987,8.898702787850002e-08
359.993,1.1331009884500001e-07
369.995,1.3899483613499997e-07
379.994,1.8196528265000005e-07
389.989,2.607161136449999e-07
399.981,3.5732805500499985e-07
409.968,4.57573551235e-07
420.032,5.6344021901e-07
430.012,6.146018401400003e-07
439.988,7.141608833000001e-07
450.039,8.1288468266e-07
460.007,9.184881390449998e-07
469.97,1.0154525843999999e-06
480.008,1.0983398533150005e-06
489.962,1.1727385088000005e-06
499.991,1.2273150115300004e-06
510.016,1.2594646474999997e-06
520.035,1.2819379337999993e-06
529.97,1.3091939378999994e-06
539.979,1.3289272411500008e-06
549.984,1.3187131527499996e-06
559.983,1.31276110945e-06
569.976,1.3101010325e-06
579.965,1.2861065968500004e-06
590.026,1.2661205902499998e-06
600.003,1.250586603750001e-06
609.975,1.2203527420999995e-06
620.019,1.1820162573999997e-06
629.978,1.15106498111e-06
640.011,1.1295357074249998e-06
650.037,1.1036057974499999e-06
659.978,1.0728816719100001e-06
669.991,1.035247428675e-06
679.998,9.929982372000003e-07
689.98,7.635936700300004e-07
699.976,7.814558443849997e-07
709.965,7.883826000950004e-07
720.026,7.795439643050005e-07
730.001,7.664295577750003e-07
739.969,7.519540568800002e-07
750.008,7.353203704699998e-07
759.961,7.177996630399998e-07
769.986,6.930598692349999e-07
780.002,6.552353497299999e-07
790.011,6.194337828300001e-07
800.013,5.922857146000001e-07
810.006,5.739555534500002e-07
819.991,5.4971346359e-07
829.968,5.3955969066e-07
840.015,5.346974957200001e-07
849.976,5.419760998349999e-07
