Wavelength (nm),Power (W)
349.974,7.36219368495e-08
359.991,8.563869692000006e-08
370.005,9.893032955349997e-08
380.014,1.1939109570000003e-07
390.021,1.5795204917500005e-07
400.024,2.0861433924999992e-07
410.023,2.668001342250001e-07
420.018,3.3041748934499966e-07
430.009,3.5570321445499963e-07
439.996,4.2137294017000003e-07
449.979,4.887687620750004e-07
460.037,5.460918970349997e-07
470.012,6.062040034799999e-07
479.982,6.559048241949998e-07
490.027,7.027023022100001e-07
499.987,7.40377885205e-07
510.023,7.717782881149994e-07
519.974,7.920641044550002e-07
530.0,8.123396167749996e-07
540.021,8.261880231149997e-07
550.037,8.207547492000006e-07
559.968,8.293022011499997e-07
569.973,8.489746919050005e-07
579.972,8.476344950199999e-07
589.966,8.546664783199999e-07
600.034,8.606315632950002e-07
610.017,8.459059404700001e-07
619.993,8.139728734500001e-07
629.964,7.879574769549998e-07
640.008,7.715701928750002e-07
649.967,7.588892634749999e-07
659.998,7.335243194199999e-07
670.023,6.974248674249998e-07
679.963,6.6242421073e-07
690.018,6.900986980099998e-07
700.016,7.213725433599999e-07
710.008,7.421500003599993e-07
719.993,7.501782596450002e-07
729.971,7.453949160800003e-07
740.021,7.349628558149997e-07
749.984,7.249903481600002e-07
760.019,7.090985744149997e-07
769.968,6.877952651550001e-07
779.988,6.499648282050001e-07
790.0,6.169638115399995e-07
800.004,5.940398063100001e-07
810.0,5.817018056799998e-07
819.988,5.625663922849999e-07
829.969,5.531808351400004e-07
840.019,5.51746872315e-07
849.982,5.595056649550001e-07
