Wavelength (nm),Current (A)
350.005,6.324334685111111e-09
360.018,9.91556567688889e-09
370.028,1.4296812157777779e-08
380.034,2.4075776997777778e-08
390.036,4.264834408777776e-08
400.035,6.621275797111113e-08
410.031,9.406426040444443e-08
420.022,1.253964794333333e-07
430.009,1.4586804911111115e-07
439.993,1.8035394453333325e-07
449.972,2.1478417138888885e-07
460.026,2.5396543369999993e-07
469.997,2.890092855444445e-07
479.963,3.2450098776666663e-07
490.005,3.5690905328888884e-07
499.962,3.873338805111113e-07
509.993,4.1152220540000006e-07
520.02,4.32384663411111e-07
529.963,4.562589729777779e-07
539.98,4.7087052234444433e-07
549.992,4.832888094777778e-07
559.998,4.902402734555556e-07
570.0,5.069010469555557e-07
579.995,5.148711680666665e-07
589.986,5.270858075666663e-07
599.97,5.356529050222223e-07
610.028,5.294811985111111e-07
620.001,5.143114762666668e-07
629.968,5.06562281188889e-07
640.008,5.071832577111112e-07
649.963,5.036961332333336e-07
659.991,4.871944739666668e-07
670.012,4.642756816777777e-07
680.026,4.439023818000002e-07
690.032,4.967097129000001e-07
700.032,5.217693175111109e-07
710.026,5.382958358888888e-07
720.012,5.438669289000001e-07
729.991,5.421042590333335e-07
739.964,5.378512482444446e-07
750.007,5.310603602e-07
759.965,5.196465232555558e-07
769.994,5.007516627888887e-07
780.015,4.748430532222222e-07
790.028,4.61463954188889e-07
800.034,4.4694758785555526e-07
810.032,4.357773807111111e-07
820.021,4.1852742989999995e-07
830.003,4.124537303555555e-07
839.976,4.106732545666667e-07
850.019,4.1642120811111104e-07
