Wavelength (nm),Power (W)
350.005,9.35667677765e-08
360.018,1.1071460103499992e-07
370.028,1.2830561806500004e-07
380.034,1.6002054349499998e-07
390.036,2.1728748847500004e-07
400.035,2.849174622449998e-07
410.031,3.5857835982499993e-07
420.022,4.375536927649997e-07
430.009,4.741199796949997e-07
439.993,5.546383779849999e-07
449.972,6.28433227825e-07
460.026,7.056015979749999e-07
469.997,7.712722938950002e-07
479.963,8.323443135550005e-07
490.005,8.778890610049995e-07
499.962,9.244982864100002e-07
509.993,9.537325686099995e-07
520.02,9.727140063800002e-07
529.963,9.989062552750003e-07
539.98,1.0008449195150005e-06
549.992,1.000832525555e-06
559.998,9.925334697450004e-07
570.0,1.0006862711399998e-06
579.995,9.9539470817e-07
589.986,9.964952127400003e-07
599.97,9.898432450499992e-07
610.028,9.591120899850002e-07
620.001,9.190887783400005e-07
629.968,8.928809754750001e-07
640.008,8.747517301000003e-07
649.963,8.535488556699999e-07
659.991,8.184724853949997e-07
670.012,7.739428894899996e-07
680.026,7.310431754950004e-07
690.032,8.009812157199998e-07
700.032,8.247520005950008e-07
710.026,8.362611933250002e-07
720.012,8.334600270000006e-07
729.991,8.198619210050002e-07
739.964,8.017801709749995e-07
750.007,7.812884246249999e-07
759.965,7.570831121250006e-07
769.994,7.236302917549998e-07
780.015,6.799309161800002e-07
790.028,6.545400341999998e-07
800.034,6.304808002499998e-07
810.032,6.066510249700002e-07
820.021,5.792012201749998e-07
830.003,5.6665234948e-07
839.976,5.5904010863e-07
850.019,5.610685993149998e-07
