Wavelength (nm),Current (A)
350.005,9.442866149e-09
360.018,1.4863408813333334e-08
370.028,2.155515417555556e-08
380.034,3.5908221744444447e-08
390.036,6.339926158333332e-08
400.035,9.835729739222218e-08
410.031,1.3898435032222218e-07
420.022,1.8397073638888886e-07
430.009,2.1188945495555553e-07
439.993,2.608045458444444e-07
449.972,3.097338006444444e-07
460.026,3.654523902555556e-07
469.997,4.1420476942222213e-07
479.963,4.631880156333333e-07
490.005,5.071142922666666e-07
499.962,5.476405630888893e-07
509.993,5.82587638422222e-07
520.02,6.124330504111111e-07
529.963,6.454303529222221e-07
539.98,6.65532424133333e-07
549.992,6.830948140444442e-07
559.998,6.916609398222219e-07
570.0,7.169747950999998e-07
579.995,7.286303731888889e-07
589.986,7.447373840000002e-07
599.97,7.569749339333335e-07
610.028,7.499079126444445e-07
620.001,7.295598453444449e-07
629.968,7.178486463666664e-07
640.008,7.183266597000001e-07
649.963,7.140364206888892e-07
659.991,6.921117549333331e-07
670.012,6.613708622555552e-07
680.026,6.327634201888886e-07
690.032,7.252034976333335e-07
700.032,7.645937395111111e-07
710.026,7.901787910555557e-07
720.012,7.998727130111108e-07
729.991,7.97525903311111e-07
739.964,7.907596190666669e-07
750.007,7.806973107777776e-07
759.965,7.64812605588889e-07
769.994,7.367836904444445e-07
780.015,6.999158218000005e-07
790.028,6.817003890777777e-07
800.034,6.618141729999999e-07
810.032,6.443117437888888e-07
820.021,6.19298189488889e-07
830.003,6.107160207333332e-07
839.976,6.075639872888888e-07
850.019,6.155959807111111e-07
