Wavelength (nm),Power (W)
350.005,1.6532345426800004e-07
360.018,2.0066559049700018e-07
370.028,2.375953588499999e-07
380.034,2.8433880837000007e-07
390.036,3.8493853731000023e-07
400.035,5.299586735999999e-07
410.031,6.842314383200004e-07
420.022,8.480426251600004e-07
430.009,9.316637357600002e-07
439.993,1.1075364615899997e-06
449.972,1.2551750541099993e-06
460.026,1.4148445138400005e-06
469.997,1.5484213008699999e-06
479.963,1.6722915278200005e-06
490.005,1.7698762892500006e-06
499.962,1.861320446719999e-06
509.993,1.9214133358399993e-06
520.02,1.958072928089999e-06
529.963,2.0096682180800007e-06
539.98,2.0155729539500002e-06
549.992,2.01518897345e-06
559.998,1.99355425923e-06
570.0,2.013809438649999e-06
579.995,2.000904636589999e-06
589.986,2.0021888831200018e-06
599.97,1.9912321490400013e-06
610.028,1.9298281794500006e-06
620.001,1.8468195380299987e-06
629.968,1.788633800220001e-06
640.008,1.7541903877099996e-06
649.963,1.7121771073599993e-06
659.991,1.6370534405500008e-06
670.012,1.5496140872900003e-06
680.026,1.4620367569199998e-06
690.032,1.6043563584800018e-06
700.032,1.653783553449999e-06
710.026,1.6771507653799993e-06
720.012,1.6674673326699988e-06
729.991,1.6418519544299993e-06
739.964,1.6043660639200005e-06
750.007,1.5650795439000003e-06
759.965,1.5127315560500008e-06
769.994,1.4455129331700001e-06
780.015,1.3562191849800006e-06
790.028,1.3079268842399993e-06
800.034,1.258978243739999e-06
810.032,1.2122410310900007e-06
820.021,1.15289737694e-06
830.003,1.1253382879199995e-06
839.976,1.1099019724700003e-06
850.019,1.1105074480499998e-06
