Wavelength (nm),Current (A)
349.989,6.533618799555555e-09
359.994,1.0864828671000004e-08
369.997,1.7007315769999998e-08
379.995,3.016505193333332e-08
389.991,5.42091060833333e-08
399.982,8.501015286666668e-08
409.97,1.2122896960000002e-07
420.034,1.6133138176666666e-07
430.014,1.875408376e-07
439.989,2.3227491433333329e-07
449.961,2.767282258e-07
460.008,3.2926979802222217e-07
469.972,3.7520360676666633e-07
480.01,4.2095522534444417e-07
489.964,4.620422087222226e-07
499.993,5.025518072888889e-07
510.018,5.331551810888887e-07
520.037,5.659990792777777e-07
529.972,5.983950884444447e-07
539.982,6.168243561555554e-07
549.986,6.366864479444443e-07
559.985,6.677820761777775e-07
569.979,6.78513380133333e-07
579.967,6.877983082111113e-07
590.029,7.039923857888888e-07
600.006,7.118090713888889e-07
609.977,6.984482060888889e-07
620.021,6.740772506222222e-07
629.981,6.643524752666666e-07
640.013,6.645133728555556e-07
650.039,6.580839034999997e-07
659.98,6.341637484444448e-07
669.994,6.029874330555555e-07
680.001,5.707301362444444e-07
689.983,6.331109931777776e-07
699.979,6.590379789444445e-07
709.968,6.753449508444443e-07
720.029,6.788985083222221e-07
730.004,6.738148874444446e-07
739.972,6.662071529666661e-07
750.011,6.584137831444445e-07
759.964,6.463859499222221e-07
769.989,6.271508460111111e-07
780.005,5.946300394777779e-07
790.014,5.672504473333331e-07
800.016,5.495964192555556e-07
810.009,5.375348800777776e-07
819.994,5.200381289888889e-07
829.972,5.208059119999999e-07
840.018,5.271234501555555e-07
849.979,5.424474318888889e-07
