Wavelength (nm),Power (W)
349.989,1.4646496609100008e-07
359.994,1.7184742169799992e-07
369.997,2.068596196369999e-07
379.995,2.6856331843000007e-07
389.991,3.7094669380999976e-07
399.982,4.933108750999999e-07
409.97,6.272513902999997e-07
420.034,7.714078071700003e-07
430.014,8.488679531800002e-07
439.989,9.960315378300006e-07
449.961,1.1337192146e-06
460.008,1.2914452417600009e-06
469.972,1.4230917343799996e-06
480.01,1.5455164150999994e-06
489.964,1.6475515019299992e-06
499.993,1.7401565689299988e-06
510.018,1.8035621339999998e-06
520.037,1.8505315159399992e-06
529.972,1.9119261355299986e-06
539.982,1.935164807890001e-06
549.986,1.9468186943599996e-06
559.985,1.99314460373e-06
569.979,1.9833632637599996e-06
579.967,1.9643044140399987e-06
590.029,1.9630869403499995e-06
600.006,1.9408522582e-06
609.977,1.8777876188999994e-06
620.021,1.7914530333199996e-06
629.981,1.7370129083099995e-06
640.013,1.70292124663e-06
650.039,1.657973624570001e-06
659.98,1.580264748260001e-06
669.994,1.4832364746899986e-06
680.001,1.3925045509899996e-06
689.983,1.5146785046499998e-06
699.979,1.5478157399300005e-06
709.968,1.5602682094400007e-06
720.029,1.5395444075099995e-06
730.004,1.5063773304600012e-06
739.972,1.47663772744e-06
750.011,1.4355389868099994e-06
759.964,1.3937304157100004e-06
769.989,1.3335959380300012e-06
780.005,1.2537155316600003e-06
790.014,1.1849096747999996e-06
800.016,1.1335942844000001e-06
810.009,1.0914912428500004e-06
819.994,1.0498442267600005e-06
829.972,1.0353387090999996e-06
840.018,1.0325078437399994e-06
849.979,1.0503916993500004e-06
