Wavelength (nm),Current (A)
350.016,6.9051963052272704e-09
360.032,1.316291049204546e-08
369.964,2.1214737477272732e-08
379.973,3.3159405378409097e-08
389.978,5.624642587045453e-08
399.98,8.82240182375e-08
409.978,1.2438969339772727e-07
419.972,1.6785006861363643e-07
429.962,1.9861863723863636e-07
440.028,2.48630548625e-07
450.01,3.055263698181817e-07
459.987,3.6202237059090917e-07
469.961,4.1552159269318176e-07
480.009,4.6545758085227253e-07
489.973,5.199962323295455e-07
500.013,5.676571173863636e-07
509.968,6.168383972500002e-07
519.997,6.584711470000002e-07
530.022,7.003754545681814e-07
539.962,7.350645330340913e-07
549.977,7.569717786022725e-07
559.986,7.782179463749999e-07
569.99,8.236024964318181e-07
579.989,8.478545600568182e-07
589.982,8.648542675113635e-07
599.969,8.939989994659092e-07
610.03,8.965747849545452e-07
620.005,8.775997827954546e-07
629.975,8.607493237954548e-07
640.018,8.535598477727273e-07
649.976,8.57163787409091e-07
660.006,8.32465281840909e-07
670.03,7.940966134659089e-07
679.968,7.485863972954547e-07
690.022,7.543512891363631e-07
700.02,8.005117882386364e-07
710.01,8.282473596250002e-07
719.994,8.583056785681815e-07
729.971,8.572089514999994e-07
740.02,8.653365417159088e-07
749.982,8.591172543068183e-07
760.016,8.341081558977274e-07
769.964,8.00237976340909e-07
779.982,6.182959718863639e-07
789.993,3.081525160681817e-07
799.996,1.0418686543295457e-07
809.991,3.03438685215909e-08
819.979,9.73487081806818e-09
830.036,3.5441750201136346e-09
840.007,1.557809598977272e-09
849.969,9.469315319545456e-10
