Wavelength (nm),Current (A)
349.973,5.7370768263333345e-09
359.99,1.0869335427222215e-08
370.003,1.7399615986666666e-08
380.013,2.81158301311111e-08
390.019,4.747087204555553e-08
400.022,7.292839389777779e-08
410.021,1.0436612587222217e-07
420.016,1.4317852258888888e-07
430.007,1.7103498121111122e-07
439.994,2.1049745015555554e-07
449.977,2.6083922225555554e-07
460.035,3.1225859555555557e-07
470.01,3.602083184666665e-07
479.98,4.106159042777778e-07
490.025,4.619383011222223e-07
499.985,5.089187648777776e-07
510.021,5.569710116777779e-07
519.972,5.94211055477778e-07
529.998,6.295760954444442e-07
540.019,6.547421243555553e-07
550.034,6.70301336677778e-07
559.965,6.940605147666665e-07
569.97,7.252610587999999e-07
579.97,7.37649280211111e-07
589.964,7.520156844333327e-07
600.032,7.721823808555556e-07
610.014,7.673175637222221e-07
619.991,7.444611804111111e-07
629.962,7.280695199555558e-07
640.006,7.260399330888886e-07
649.964,7.217541243888886e-07
659.996,6.987105729666667e-07
670.021,6.612405994444444e-07
680.039,5.986729823222223e-07
690.015,4.6017054712222214e-07
700.014,2.407969516222223e-07
710.006,9.252769596999997e-08
719.99,3.063989508111111e-08
729.968,9.996460248777775e-09
740.018,3.9231221444444414e-09
749.981,2.1793527828888885e-09
