Wavelength (nm),Power (W)
349.973,1.1126030933599995e-07
359.99,1.302999519440001e-07
370.003,1.5331278646600008e-07
380.013,1.8858318361000006e-07
390.019,2.6671963165000004e-07
400.022,3.4647800230999994e-07
410.021,4.3529705005999993e-07
420.016,5.305127470299997e-07
430.007,5.793464894999999e-07
439.994,6.667611265200004e-07
449.977,7.789787562899996e-07
460.035,8.842212529099995e-07
470.01,9.766155059700004e-07
479.98,1.07431485538e-06
490.025,1.17218257399e-06
499.985,1.2598174259199993e-06
510.021,1.3401832819700002e-06
519.972,1.4069701126100001e-06
529.998,1.4729751120100005e-06
540.019,1.51996036101e-06
550.034,1.53892197028e-06
559.965,1.5840830758399997e-06
569.97,1.64965389098e-06
579.97,1.6670366240599995e-06
589.964,1.6888508274900014e-06
600.032,1.7076658114099995e-06
610.014,1.681949135650001e-06
619.991,1.623171481310001e-06
629.962,1.5716677113599996e-06
640.006,1.5431040310200004e-06
649.964,1.514788212420001e-06
659.996,1.4571840387699999e-06
670.021,1.3694320103100008e-06
680.039,1.2849115295900003e-06
690.015,1.3150788032800003e-06
700.014,1.36756393326e-06
710.006,1.4031659520700006e-06
719.99,1.4132894785099994e-06
729.968,1.4029613794299994e-06
740.018,1.3807636293300003e-06
749.981,1.3551572373999996e-06
