Wavelength (nm),Power (W)
349.973,1.0284310970499998e-07
359.99,1.2253942774100004e-07
370.003,1.4599103522099994e-07
380.013,1.8247064499300002e-07
390.019,2.483951662999999e-07
400.022,3.302353296699999e-07
410.021,4.1984410085000013e-07
420.016,5.1644950421e-07
430.007,5.6983625996e-07
439.994,6.554452148000002e-07
449.977,7.641094816900001e-07
460.035,8.679972566799994e-07
470.01,9.624467793200004e-07
479.98,1.0614838121099996e-06
490.025,1.1595739610300006e-06
499.985,1.2475030053e-06
510.021,1.3287307563899996e-06
519.972,1.397895707599999e-06
529.998,1.46519960198e-06
540.019,1.51127825517e-06
550.034,1.5342035539100005e-06
559.965,1.5794691734399993e-06
569.97,1.6393052969500009e-06
579.97,1.6563677348200003e-06
589.964,1.6742163079000002e-06
600.032,1.697060844200001e-06
610.014,1.6722478646500008e-06
619.991,1.6164828344300004e-06
629.962,1.5641774592499997e-06
640.006,1.5370305714300006e-06
649.964,1.5122446439299998e-06
659.996,1.4484528418200006e-06
670.021,1.36092745885e-06
680.039,1.2760119420900003e-06
690.015,1.30974715774e-06
700.014,1.3642099963899999e-06
710.006,1.3967708088700006e-06
719.99,1.4066073156299996e-06
729.968,1.3953646606300002e-06
740.018,1.3721976977400001e-06
749.981,1.34703126665e-06
