Wavelength (nm),Current (A)
325.037,7.925825935e-05
349.973,0.00024802413279999996
374.968,0.0008881448600000001
400.022,0.0032207345940000005
424.972,0.00674154175
449.977,0.011285992357499998
475.035,0.015652439455
499.985,0.019425855907500005
524.986,0.022428549139999997
550.034,0.0246069204525
574.971,0.0267989834275
600.032,0.028615057204999995
624.977,0.027424535125
649.964,0.026736623862500003
674.991,0.024485891317500005
700.014,0.026576398944999996
725.02,0.0280940062675
749.981,0.027492955542499996
774.976,0.023385220867500008
800.001,0.004375263554
824.976,0.0002184365752
849.979,5.1564710017500004e-05
