Wavelength (nm),Current (A)
325.004,2.08209385e-07
350.018,1.34525336e-07
375.011,1.94248116e-07
399.982,4.00753094e-07
425.009,9.18761202e-07
450.011,1.45915691e-06
474.987,2.22904054e-06
500.015,2.57956276e-06
525.013,3.04472337e-06
549.979,3.35880895e-06
574.992,3.60585454e-06
599.971,3.81329959e-06
624.994,3.62802506e-06
649.978,3.59751743e-06
675.003,3.33758634e-06
700.022,3.15242868e-06
725.026,3.33005186e-06
749.985,3.26075883e-06
774.977,2.69857309e-06
799.999,5.48584068e-07
824.972,1.50926638e-07
849.972,1.3012424e-08
874.997,-4.91219651e-08
899.968,4.51527739e-08
925.036,1.06219658e-07
949.969,-1.02134848e-07
974.997,9.85523271e-08
999.962,1.60225837e-07
1025.016,-7.70120323e-08
1050.005,2.71507119e-08
1075.002,1.42154013e-08
1100.005,6.09831829e-08
