Wavelength (nm),Background Light (W)
325.0,4.1853711611999995e-08
335.0,4.000665817599998e-08
345.0,3.8697214696000006e-08
355.0,3.815582849e-08
365.0,3.8002742356e-08
375.0,3.644597588400001e-08
385.0,3.4161023252e-08
395.0,3.2232818088e-08
405.0,3.090822311600001e-08
415.0,2.9825668048e-08
425.0,2.8967985468e-08
435.0,2.826282720600001e-08
445.0,2.7630010961999994e-08
455.0,2.714868398800001e-08
465.0,2.6624542714e-08
475.0,2.6145353626000004e-08
485.0,2.569593660600001e-08
495.0,2.5184076089999997e-08
505.0,2.4650506523999994e-08
515.0,2.4104975969999998e-08
525.0,2.3622171481999995e-08
535.0,2.3061709128000007e-08
545.0,2.2516004568000008e-08
555.0,2.200791615600001e-08
565.0,2.1535899213999995e-08
575.0,2.1085347256000003e-08
585.0,2.0625348576000003e-08
595.0,2.0187237442e-08
605.0,1.980835331400001e-08
615.0,1.9408601116e-08
625.0,1.9053184649999995e-08
635.0,1.8698795475999997e-08
645.0,1.837126266e-08
655.0,1.8101841918e-08
665.0,1.7904760192e-08
675.0,1.7678056388e-08
685.0,1.7356314968e-08
695.0,1.7085707938000005e-08
705.0,1.6833545798000004e-08
715.0,1.6575519443999998e-08
725.0,1.6275458204e-08
735.0,1.5990833543999992e-08
745.0,1.572668807e-08
755.0,1.5482857004000005e-08
765.0,1.5248867225999998e-08
775.0,1.4999493138e-08
785.0,1.47922202e-08
795.0,1.4569506001999996e-08
805.0,1.4329883388000007e-08
815.0,1.4129434796000001e-08
825.0,1.3900828278000003e-08
835.0,1.3658303028e-08
845.0,1.3494122813999996e-08
855.0,1.3269019272000005e-08
865.0,1.3090405502000006e-08
875.0,1.2909497849999999e-08
885.0,1.2752424229999996e-08
895.0,1.2525877092000002e-08
905.0,1.2405683311999997e-08
915.0,1.2224814687999997e-08
925.0,1.2103400379999998e-08
935.0,1.1975359638000001e-08
945.0,1.1833266051999999e-08
955.0,1.1721844473999997e-08
965.0,1.1649944453999999e-08
975.0,1.1706948074000001e-08
985.0,1.180403932e-08
995.0,1.2052469756000004e-08
1005.0,1.2547616161999992e-08
1015.0,1.3284621326e-08
1025.0,1.4473823830000002e-08
1035.0,1.627221289e-08
1045.0,1.9116901878000005e-08
1055.0,2.341551499400001e-08
1065.0,2.9279166653999995e-08
1075.0,3.616637991200001e-08
1085.0,4.403938739e-08
1095.0,5.4342502722e-08
