Wavelength (nm),Current (A)
325.037,0.049197004614000006
334.982,0.08361023256599996
345.003,0.15154342542000004
355.022,0.26467607752
365.037,0.44915037164
374.968,0.7353324015
384.977,1.1808182166000003
394.981,1.8225855011999998
404.982,2.642503833400001
414.979,3.5976096240000004
424.972,4.6210289626
434.961,5.7111536358000015
445.026,6.827994646600001
455.007,7.9437649674
464.983,8.9814904166
475.035,8.4736139248
485.003,7.613324751799997
494.966,6.804053968999998
505.004,6.0379501482
515.037,5.428267951000001
524.986,4.948761686600001
535.009,4.513878168999999
545.027,4.202316536800001
554.961,3.7605170288
564.969,2.4780707637999995
574.971,1.9079280755999994
584.968,1.3945565984000001
595.038,1.1431111694000002
605.024,0.9786878528599999
615.003,0.8402064520799998
624.977,0.9546071774800001
635.024,1.0984536236
644.986,1.2754650048000002
655.02,1.6211752432000004
664.969,1.9384328369999997
674.991,2.2674880886000004
684.974,2.4519720456000003
694.976,1.7997743269999997
704.971,1.3901258684000002
715.038,1.1126013416
725.02,0.96517134138
734.994,1.0072229981600005
744.961,1.1220944454000006
755.0,1.376961285
765.031,2.0603369046
774.976,4.190365805599999
784.992,5.8648802904
795.0,8.6752993726
805.0,6.3729322386
814.992,3.6009877387999993
824.976,2.0218069221999997
835.03,1.4902779621999995
844.998,1.5130771874000004
