Wavelength (nm),Current (A)
325.037,0.014524352912
349.973,0.03702082800200001
374.968,0.10380985077999999
400.022,0.36666838768
424.972,0.7111408599000001
449.977,1.2317882346000002
475.035,1.7770637726000005
499.985,2.282499504000001
524.986,2.6686029481999998
550.034,2.9265859698
574.971,3.1864927858
600.032,3.4222643610000008
624.977,3.2931086586000005
649.964,3.2804639864000005
674.991,2.986932683
700.014,3.3103575888
725.02,3.5474697965999984
749.981,3.536760540200001
774.976,3.342764253599999
800.001,3.0244928117999996
824.976,2.8877496669999996
849.979,2.988029947199999
875.006,3.3527276367999996
899.979,3.9561768868000002
924.973,4.538792024
949.986,5.047848095799999
975.016,5.215759978199999
999.983,4.862589621000001
1024.964,3.903388022800001
1050.032,2.4185321806000006
1075.031,1.2738088231999998
1100.037,0.67284206456
