Wavelength (nm),Power (W)
325.037,5.1666580565999996e-08
334.982,5.5445742641999996e-08
345.003,7.614510081599999e-08
355.022,1.1154395879999995e-07
365.037,1.5076958358e-07
374.968,1.9913795544000001e-07
384.977,2.9851861202e-07
394.981,4.380366193199999e-07
404.982,5.953921083799998e-07
414.979,7.686824539799997e-07
424.972,8.432033382199998e-07
434.961,1.03360212966e-06
445.026,1.2181253694e-06
455.007,1.3657220097999998e-06
464.983,1.5610838316000003e-06
475.035,1.6915593276000006e-06
485.003,1.8446285232000007e-06
494.966,1.959562771e-06
505.004,2.0660688556e-06
515.037,2.1491718457999997e-06
524.986,2.214868637e-06
535.009,2.2750778036000005e-06
545.027,2.2824283814e-06
554.961,2.2594524808000003e-06
564.969,2.3658816592000003e-06
574.971,2.3583287022000002e-06
584.968,2.3771944098e-06
595.038,2.4043566648e-06
605.024,2.3938577074000004e-06
615.003,2.3094809783999998e-06
624.977,2.2097789858000005e-06
635.024,2.1563081646e-06
644.986,2.1250670255999995e-06
655.02,2.0621681691999997e-06
664.969,1.9720835534e-06
674.991,1.8570800146e-06
684.974,1.8395309373999999e-06
694.976,1.9260102760000003e-06
704.971,1.9969381532e-06
715.038,2.0368364862000003e-06
725.02,2.0343871987999996e-06
734.994,2.0110290536e-06
744.961,1.979592132e-06
755.0,1.9304663014e-06
765.031,1.8640199462e-06
774.976,1.7913689606000004e-06
784.992,1.6667983321999995e-06
795.0,1.5917739575999994e-06
805.0,1.5622976392000006e-06
814.992,1.5088862680000002e-06
824.976,1.45429055e-06
835.03,1.4430785125999998e-06
844.998,1.4522095856e-06
855.035,1.4797231003999998e-06
864.986,1.5456971547999999e-06
875.006,1.6092532998000005e-06
885.018,1.7038433890000007e-06
895.02,1.7821542632000002e-06
905.014,1.9294214172e-06
914.998,2.0233250649999995e-06
924.973,2.1058840004e-06
935.016,2.1517391958000002e-06
944.973,2.2856121769999998e-06
954.997,2.3334709108e-06
965.011,2.4085979612e-06
975.016,2.4223893707999994e-06
985.01,2.446585677e-06
994.995,2.4418259454e-06
1004.969,2.4059788894e-06
1015.01,2.4281387179999997e-06
1024.964,2.3612501178000005e-06
1034.984,2.3152798755999992e-06
1044.993,2.2716225517999995e-06
1054.991,2.220280517e-06
1064.979,2.1689874124000007e-06
1075.031,2.2354600796e-06
1084.996,2.1394145321999997e-06
1095.026,2.1545606928000004e-06
