Wavelength (nm),Power Measurements (W)
315,7.331746109999999e-07
325.037,7.331746109999999e-07
334.982,1.2812447816e-06
345.003,2.2441160722000007e-06
355.022,3.8005135273999998e-06
365.037,6.316867338600001e-06
374.968,9.780164636199997e-06
384.977,1.447764698e-05
394.981,1.9639458658000007e-05
404.982,2.7711802252e-05
414.979,3.5562713606e-05
424.972,4.377154392799998e-05
434.961,5.253624673400001e-05
445.026,6.088002766400001e-05
455.007,6.9418785136e-05
464.983,7.719052534e-05
475.035,8.4476168124e-05
