Wavelength (nm),Power Measurements (W)
325.037,7.1970615918e-08
334.982,9.636407369600003e-08
345.003,1.8895501770000001e-07
355.022,3.4624860515999996e-07
365.037,5.295057155799999e-07
374.968,7.601009815999997e-07
384.977,1.1950936931999998e-06
394.981,1.8265130186e-06
404.982,2.542138964e-06
414.979,3.3163804393999986e-06
424.972,3.7147575952e-06
434.961,4.572045254199999e-06
445.026,5.368953671599999e-06
455.007,6.116136527999999e-06
464.983,7.000074219800003e-06
475.035,7.6154866471999994e-06
485.003,8.273913718200001e-06
494.966,8.773601257199999e-06
505.004,9.3030864816e-06
515.037,9.553909586799999e-06
524.986,9.894495702400001e-06
535.009,1.0120938913800001e-05
545.027,1.01283428718e-05
554.961,1.0100319252199999e-05
564.969,1.0360301925599999e-05
574.971,1.0402954412599997e-05
584.968,1.04224826818e-05
595.038,1.0505671740000003e-05
605.024,1.0445171685599998e-05
615.003,1.00586697082e-05
624.977,9.684804006e-06
635.024,9.4250132316e-06
644.986,9.299464836000002e-06
655.02,9.012716945599998e-06
664.969,8.6533624374e-06
674.991,8.188004012600003e-06
684.974,7.670780732799997e-06
694.976,8.060748150399999e-06
704.971,8.4090299964e-06
715.038,8.4748379414e-06
725.02,8.464822294200002e-06
734.994,8.382511678200004e-06
744.961,8.244638502000002e-06
755.0,8.078492484199998e-06
765.031,7.856392385599999e-06
774.976,7.527183561399998e-06
784.992,7.0391449938000016e-06
795.0,6.746082618400004e-06
805.0,6.6234519814e-06
814.992,6.4081014168e-06
824.976,6.1954553446e-06
835.03,6.146586638399997e-06
844.998,6.170999349400002e-06
