Wavelength (nm),Current (A)
325.004,0.29352756499199983
335.028,0.3195465022933335
344.968,0.3561110832733333
354.986,0.37489764668666675
365.0,0.42009359088666653
375.011,0.4624614809066668
385.018,0.5087824711133334
395.021,0.6826239718933331
405.021,0.9457941370600006
415.017,1.2386300261999992
425.009,1.4808692987333332
434.997,1.8731601359999999
444.981,2.219221734066667
454.961,2.5654855155999994
465.016,2.996982348999999
474.987,3.412389165266668
485.034,3.7500448769333343
494.996,4.066440467533332
505.033,4.342419461666666
514.985,4.5899624223333335
525.013,4.8284700684666655
535.035,5.1606076898
544.972,5.294311784466668
554.984,5.381193439466668
564.991,5.616194407133334
574.992,5.836567625999999
584.988,5.96187040873333
594.978,5.958464751333334
604.963,6.090602910933334
615.021,6.020167206999999
624.994,5.750237885800001
635.039,5.5982553667999975
645.0,5.567627663066666
655.034,5.565506542533334
664.982,5.4337666197333325
675.003,5.187321910333331
684.984,5.0556552816666676
694.985,5.368571817066668
704.979,5.591743342399997
714.967,5.7832711792666665
725.026,5.823230792666667
734.999,5.936773078333334
744.965,5.896803538733333
755.003,5.800386486733334
765.033,5.6733931234
774.977,5.294208247333334
784.992,4.341182643333333
794.999,2.7733279049333364
804.998,1.176197814186667
814.989,0.5085577639466667
824.972,0.33174776754666674
835.025,0.28448152838733337
844.992,0.280201222114
