Wavelength (nm),Power Measurements (W)
325.004,5.9589936656000004e-08
335.028,9.210100461399994e-08
344.968,2.1125650654600004e-07
354.986,4.3635095447199977e-07
365.0,7.107166851740003e-07
375.011,1.0272312849179996e-06
385.018,1.6096765115679996e-06
395.021,2.523301495691999e-06
405.021,3.564746230712001e-06
415.017,4.731863736873999e-06
425.009,5.3657484991460005e-06
434.997,6.7169504360459986e-06
444.981,7.954654273831997e-06
454.961,9.141047579583993e-06
465.016,1.0427614652231998e-05
474.987,1.1530136457426003e-05
485.034,1.2562381749376e-05
494.996,1.3453871825307998e-05
505.033,1.4202314693709995e-05
514.985,1.4797529095146003e-05
525.013,1.5194545962285996e-05
535.035,1.5659482752991997e-05
544.972,1.5875346773444e-05
554.984,1.5787711062982e-05
564.991,1.6092368095695998e-05
574.992,1.6376506410359997e-05
584.988,1.636803358449e-05
594.978,1.6456808080966006e-05
604.963,1.6466959499215996e-05
615.021,1.5955876711374002e-05
624.994,1.5303612469982004e-05
635.039,1.4801715401541998e-05
645.0,1.4550687545426001e-05
655.034,1.4199622998166004e-05
664.982,1.3618268157452e-05
675.003,1.2842231943354006e-05
684.984,1.2408664671186e-05
694.985,1.2996475693787997e-05
704.979,1.3528743100557999e-05
714.967,1.3811083701261998e-05
725.026,1.3799837329438006e-05
734.999,1.3657764779148e-05
744.965,1.3419073458635999e-05
755.003,1.3117434197434007e-05
765.033,1.2732476673775997e-05
774.977,1.2184591222541995e-05
784.992,1.1349415939390002e-05
794.999,1.0815114449765995e-05
804.998,1.0495799868286001e-05
814.989,1.0183491559198003e-05
824.972,9.796834769167999e-06
835.025,9.680109048463998e-06
844.992,9.702504678020004e-06
