Wavelength (nm),Power Measurements (W)
325.037,1.24239591e-06
349.973,2.29223156e-06
374.968,5.75795593e-06
400.022,1.16879028e-05
424.972,1.80532334e-05
449.977,2.75472066e-05
475.035,3.64822226e-05
499.985,4.35668808e-05
524.986,4.763779e-05
550.034,4.89079503e-05
574.971,5.05330026e-05
600.032,5.07837649e-05
624.977,4.63986471e-05
649.964,4.33717069e-05
674.991,3.77927572e-05
700.014,3.92295806e-05
725.02,3.95819588e-05
749.981,3.69971021e-05
774.976,3.25725377e-05
800.001,2.71634945e-05
824.976,2.45526116e-05
849.979,2.44839193e-05
875.006,2.769208e-05
899.979,3.35590994e-05
924.973,3.97693038e-05
949.986,4.55542176e-05
975.016,4.93451735e-05
999.983,5.08035118e-05
1024.964,5.11906437e-05
1050.032,5.12927509e-05
1075.031,5.12014267e-05
1100.037,5.03251031e-05
