Wavelength (nm),Power Measurements (W)
374.968,1.2003215719999874e-06
384.977,1.799727988000029e-06
394.981,2.4245682239999936e-06
404.982,2.998404953999994e-06
414.979,3.6774623079999932e-06
424.972,4.105262639999988e-06
434.961,4.911820289999989e-06
445.026,5.5490517820000175e-06
455.007,6.210874847999995e-06
464.983,7.141156104000032e-06
475.035,7.748002972e-06
485.003,8.449552266000021e-06
494.966,9.113275152000013e-06
505.004,9.517127248000003e-06
515.037,9.891062888000008e-06
524.986,1.0315715112000003e-05
535.009,1.054168337600002e-05
545.027,1.0611612669999983e-05
554.961,1.0645667063999995e-05
564.969,1.0993382231999986e-05
574.971,1.1060740441999996e-05
584.968,1.1100665001999978e-05
595.038,1.1193708851999999e-05
605.024,1.1156805998000004e-05
615.003,1.0790144655999998e-05
624.977,1.0421836188000007e-05
635.024,1.0085209499999992e-05
644.986,1.001184610199999e-05
655.02,9.649835130000014e-06
664.969,9.265758704e-06
674.991,8.791093203999997e-06
684.974,8.683618138000002e-06
694.976,9.08586892600001e-06
704.971,9.46304331e-06
715.038,9.593187651999985e-06
725.02,9.597933855999992e-06
734.994,9.551789297999986e-06
744.961,9.417199916000012e-06
755.0,9.171039713999996e-06
765.031,8.907577986000001e-06
774.976,8.542842513999993e-06
784.992,7.99192125800001e-06
795.0,7.636407367999992e-06
805.0,7.407813531999991e-06
814.992,7.204869651999994e-06
824.976,6.965146126000008e-06
