Wavelength (nm),Power Measurements (W)
374.968,3.9947495089799985e-07
384.977,6.44989931238e-07
394.981,9.926115215019998e-07
404.982,1.389548513044e-06
414.979,1.8127866649479998e-06
424.972,2.053750269304001e-06
434.961,2.5520354651180003e-06
445.026,3.0138328252299997e-06
455.007,3.435990659514e-06
464.983,3.921636699657999e-06
475.035,4.305392326982e-06
485.003,4.679564144087999e-06
494.966,4.988534599789999e-06
505.004,5.291523953898002e-06
515.037,5.491763392674002e-06
524.986,5.671694148065999e-06
535.009,5.819160785762e-06
545.027,5.86649888356e-06
554.961,5.885142825973999e-06
564.969,6.035853732449999e-06
574.971,6.096666098794002e-06
584.968,6.158121014916001e-06
595.038,6.172132335316e-06
605.024,6.113000161904001e-06
615.003,5.972335644082e-06
624.977,5.708661742144001e-06
635.024,5.5608043616339985e-06
644.986,5.4573886374800015e-06
655.02,5.3131873593520004e-06
664.969,5.087935654740001e-06
674.991,4.793607206069998e-06
684.974,4.745810495122e-06
694.976,4.977622488248001e-06
704.971,5.154856922084001e-06
715.038,5.2483028320740005e-06
725.02,5.253547935786001e-06
734.994,5.1809870196239995e-06
744.961,5.095269008269999e-06
755.0,4.964343734269999e-06
765.031,4.812096215488001e-06
774.976,4.589940003052001e-06
784.992,4.29575644958e-06
795.0,4.094724918814003e-06
805.0,3.983773962283999e-06
814.992,3.8713468353360005e-06
824.976,3.724952900194e-06
835.03,3.6873607063700005e-06
844.998,3.694157648928e-06
