Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.50187,-1.48021
-0.19,-1.49907,-1.47951
-0.18,-1.49838,-1.47462
-0.17,-1.49628,-1.47042
-0.16,-1.49488,-1.46483
-0.15,-1.49279,-1.46343
-0.14,-1.4865,-1.46343
-0.13,-1.4858,-1.46274
-0.12,-1.4851,-1.46134
-0.11,-1.4816,-1.45714
-0.1,-1.47951,-1.45505
-0.09,-1.48021,-1.45365
-0.08,-1.47531,-1.44526
-0.07,-1.47252,-1.44806
-0.06,-1.47531,-1.44596
-0.05,-1.46693,-1.44247
-0.04,-1.46972,-1.43478
-0.03,-1.46483,-1.43618
-0.02,-1.46273,-1.43408
-0.01,-1.46273,-1.42919
0.0,-1.45645,-1.42849
0.01,-1.45784,-1.4236
0.02,-1.45505,-1.4229
0.03,-1.45365,-1.41731
0.04,-1.45155,-1.41591
0.05,-1.45085,-1.41451
0.06,-1.44596,-1.41102
0.07,-1.44596,-1.40892
0.08,-1.44177,-1.40822
0.09,-1.43688,-1.40682
0.1,-1.43478,-1.40123
0.11,-1.43478,-1.39774
0.12,-1.43059,-1.39355
0.13,-1.42989,-1.38865
0.14,-1.42709,-1.38935
0.15,-1.4215,-1.38656
0.16,-1.4194,-1.38236
0.17,-1.41731,-1.38097
0.18,-1.41172,-1.37677
0.19,-1.41032,-1.37538
0.2,-1.41242,-1.37468
0.21,-1.40752,-1.36699
0.22,-1.40193,-1.36909
0.23,-1.40333,-1.3628
0.24,-1.39844,-1.3621
0.25,-1.39425,-1.3614
0.26,-1.39285,-1.35651
0.27,-1.38865,-1.35371
0.28,-1.38586,-1.35091
0.29,-1.38376,-1.34532
0.3,-1.38166,-1.34602
0.31,-1.37817,-1.34113
0.32,-1.37817,-1.33764
0.33,-1.37048,-1.33344
0.34,-1.36839,-1.33135
0.35,-1.36839,-1.32715
0.36,-1.36419,-1.32576
0.37,-1.3572,-1.32226
0.38,-1.3579,-1.31877
0.39,-1.35511,-1.31178
0.4,-1.34882,-1.30898
0.41,-1.34602,-1.30479
0.42,-1.34323,-1.30409
0.43,-1.33903,-1.30269
0.44,-1.33764,-1.29431
0.45,-1.33484,-1.29081
0.46,-1.32995,-1.28872
0.47,-1.32855,-1.28312
0.48,-1.32226,-1.27614
0.49,-1.32226,-1.26985
0.5,-1.31667,-1.26775
0.51,-1.31318,-1.25936
0.52,-1.31038,-1.25028
0.53,-1.30619,-1.24399
0.54,-1.3006,-1.2342
0.55,-1.2964,-1.23001
0.56,-1.28871,-1.21813
0.57,-1.29011,-1.20625
0.58,-1.28802,-1.19577
0.59,-1.28312,-1.18878
0.6,-1.27963,-1.1713
0.61,-1.26984,-1.16152
0.62,-1.26495,-1.14544
0.63,-1.26076,-1.12728
0.64,-1.25587,-1.1133
0.65,-1.24888,-1.09513
0.66,-1.24049,-1.07905
0.67,-1.2342,-1.05529
0.68,-1.22302,-1.03642
0.69,-1.21813,-1.01056
0.7,-1.20415,-0.98191
0.71,-1.19157,-0.95815
0.72,-1.18249,-0.9295
0.73,-1.16711,-0.89665
0.74,-1.15174,-0.8659
0.75,-1.13007,-0.83445
0.76,-1.10491,-0.803
0.77,-1.08534,-0.76386
0.78,-1.05529,-0.73172
0.79,-1.02244,-0.69607
0.8,-0.98471,-0.65903
0.81,-0.93858,-0.6178
0.82,-0.89245,-0.57726
0.83,-0.83794,-0.53324
0.84,-0.77714,-0.48292
0.85,-0.71075,-0.4305
0.86,-0.63737,-0.37389
0.87,-0.5584,-0.31589
0.88,-0.47593,-0.2474
0.89,-0.38787,-0.17751
0.9,-0.29283,-0.10064
0.91,-0.1873,-0.02027
0.92,-0.08456,0.06849
0.93,0.02306,0.15934
0.94,0.13209,0.25718
0.95,0.2488,0.35642
0.96,0.3711,0.46265
0.97,0.4913,0.57167
0.98,0.6129,0.68559
0.99,0.73311,0.8023
1.0,0.85821,0.9239
1.01,0.98959,1.0441
1.02,1.11748,1.17339
1.03,1.24538,1.29779
1.04,1.38026,1.42568
1.05,1.51024,1.56056
1.06,1.64303,1.68566
1.07,1.77372,1.81425
1.08,1.9086,1.94564
1.09,2.04208,2.07493
1.1,2.17207,2.20212
