Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.99829,-2.00668
-0.19,-1.99549,-2.00668
-0.18,-1.99549,-2.00179
-0.17,-1.99339,-2.00388
-0.16,-1.99409,-2.00458
-0.15,-1.99479,-2.00179
-0.14,-1.99619,-2.00318
-0.13,-1.992,-2.00388
-0.12,-1.99479,-2.00248
-0.11,-1.99549,-2.00458
-0.1,-1.99549,-2.00248
-0.09,-1.99549,-2.00109
-0.08,-1.99479,-2.00388
-0.07,-1.99339,-2.00528
-0.06,-1.99409,-2.00318
-0.05,-1.9927,-2.00388
-0.04,-1.99339,-2.00318
-0.03,-1.99409,-2.00039
-0.02,-1.99409,-2.00039
-0.01,-1.99339,-2.00388
0.0,-1.99339,-2.00318
0.01,-1.99409,-1.99969
0.02,-1.99409,-2.00038
0.03,-1.99269,-2.00109
0.04,-1.99339,-2.00178
0.05,-1.99549,-2.00108
0.06,-1.9913,-2.00039
0.07,-1.99199,-2.00178
0.08,-1.99339,-2.00108
0.09,-1.99269,-1.99829
0.1,-1.99269,-2.00108
0.11,-1.99269,-1.99829
0.12,-1.99199,-1.99899
0.13,-1.99199,-1.99829
0.14,-1.9906,-1.99829
0.15,-1.9906,-1.99899
0.16,-1.99269,-1.99829
0.17,-1.9913,-1.99689
0.18,-1.99339,-1.99619
0.19,-1.9906,-1.99689
0.2,-1.99269,-1.99689
0.21,-1.99199,-1.99549
0.22,-1.9913,-1.99269
0.23,-1.9892,-1.99269
0.24,-1.99199,-1.9899
0.25,-1.9864,-1.9857
0.26,-1.9815,-1.9836
0.27,-1.97871,-1.97381
0.28,-1.96962,-1.96402
0.29,-1.96472,-1.94934
0.3,-1.94934,-1.93535
0.31,-1.93326,-1.90948
0.32,-1.91647,-1.8885
0.33,-1.8906,-1.85843
0.34,-1.86892,-1.82277
0.35,-1.83256,-1.79061
0.36,-1.7976,-1.75005
0.37,-1.75914,-1.70809
0.38,-1.71159,-1.65565
0.39,-1.66264,-1.6067
0.4,-1.61509,-1.55146
0.41,-1.55915,-1.49342
0.42,-1.50041,-1.43188
0.43,-1.43888,-1.36825
0.44,-1.37174,-1.30042
0.45,-1.30531,-1.23539
0.46,-1.23749,-1.15847
0.47,-1.16127,-1.08994
0.48,-1.08854,-1.00883
0.49,-1.00603,-0.92771
0.5,-0.92631,-0.8445
0.51,-0.8403,-0.75779
0.52,-0.7487,-0.66828
0.53,-0.66129,-0.57458
0.54,-0.56619,-0.48018
0.55,-0.4669,-0.38298
0.56,-0.3655,-0.27739
0.57,-0.25781,-0.1725
0.58,-0.15083,-0.05853
0.59,-0.03615,0.05545
0.6,0.07923,0.17783
0.61,0.2051,0.30229
0.62,0.33446,0.43026
0.63,0.46942,0.56731
0.64,0.60437,0.70437
0.65,0.74912,0.85401
0.66,0.90016,1.00645
0.67,1.05959,1.16448
0.68,1.21832,1.32531
0.69,1.39524,1.49943
0.7,1.57145,1.68054
0.71,1.75606,1.86864
0.72,1.94765,2.06583
0.73,2.15603,2.26861
0.74,2.37071,2.48189
0.75,2.59027,2.70565
0.76,2.82103,2.9399
0.77,3.06717,3.18464
0.78,3.3238,3.44057
0.79,3.58672,3.70559
0.8,3.86432,3.98599
0.81,4.15521,4.27619
0.82,4.4545,4.57967
0.83,4.77336,4.89643
0.84,5.10341,5.22578
0.85,5.44745,5.56702
0.86,5.80198,5.92085
0.87,6.16908,6.29215
0.88,6.55647,6.67675
0.89,6.95086,7.07392
0.9,7.36692,7.4837
0.91,7.79906,7.91234
0.92,8.23679,8.34587
0.93,8.68852,8.7927
0.94,9.15492,9.25842
0.95,9.63042,9.73251
0.96,10.12129,10.2185
0.97,10.62126,10.71357
0.98,11.13593,11.22263
0.99,11.65967,11.74148
1.0,12.19321,12.27222
1.01,12.73513,12.80785
1.02,13.29105,13.35538
1.03,13.84765,13.91129
1.04,14.42035,14.47489
1.05,14.99654,15.04338
1.06,15.57762,15.61888
1.07,16.1671,16.20346
1.08,16.76217,16.78943
1.09,17.35582,17.3838
1.1,17.96348,17.97887
