Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.61439,-1.57036
-0.19,-1.61509,-1.56617
-0.18,-1.61229,-1.56407
-0.17,-1.61229,-1.56128
-0.16,-1.6081,-1.56267
-0.15,-1.6039,-1.55848
-0.14,-1.6074,-1.55568
-0.13,-1.60461,-1.55638
-0.12,-1.60181,-1.55149
-0.11,-1.59971,-1.55079
-0.1,-1.59762,-1.5466
-0.09,-1.59762,-1.5459
-0.08,-1.59202,-1.53961
-0.07,-1.59203,-1.54101
-0.06,-1.59063,-1.53751
-0.05,-1.58853,-1.53192
-0.04,-1.58434,-1.52913
-0.03,-1.58574,-1.52983
-0.02,-1.58154,-1.52913
-0.01,-1.57944,-1.52633
0.0,-1.57735,-1.52354
0.01,-1.57665,-1.52284
0.02,-1.57246,-1.51585
0.03,-1.57246,-1.51585
0.04,-1.57176,-1.51585
0.05,-1.56896,-1.51165
0.06,-1.56477,-1.50886
0.07,-1.56617,-1.50676
0.08,-1.56267,-1.50397
0.09,-1.55988,-1.50047
0.1,-1.55918,-1.50327
0.11,-1.55429,-1.49488
0.12,-1.55498,-1.49348
0.13,-1.55009,-1.49139
0.14,-1.55219,-1.4858
0.15,-1.5473,-1.48719
0.16,-1.5459,-1.483
0.17,-1.5445,-1.4816
0.18,-1.54101,-1.47601
0.19,-1.53751,-1.47461
0.2,-1.53472,-1.47392
0.21,-1.53262,-1.47112
0.22,-1.53192,-1.46553
0.23,-1.52773,-1.46413
0.24,-1.52843,-1.46413
0.25,-1.52423,-1.46693
0.26,-1.52214,-1.45994
0.27,-1.51725,-1.45854
0.28,-1.51515,-1.45365
0.29,-1.51305,-1.45155
0.3,-1.51026,-1.45295
0.31,-1.51026,-1.45085
0.32,-1.50467,-1.44526
0.33,-1.50117,-1.44247
0.34,-1.50397,-1.44177
0.35,-1.49838,-1.43967
0.36,-1.49348,-1.43128
0.37,-1.49418,-1.42919
0.38,-1.49069,-1.42849
0.39,-1.48929,-1.42569
0.4,-1.4837,-1.4194
0.41,-1.4851,-1.41591
0.42,-1.4816,-1.41171
0.43,-1.47531,-1.40892
0.44,-1.47461,-1.40613
0.45,-1.46902,-1.39914
0.46,-1.46693,-1.39494
0.47,-1.46623,-1.38795
0.48,-1.46064,-1.38516
0.49,-1.45924,-1.38166
0.5,-1.45155,-1.37258
0.51,-1.45015,-1.3628
0.52,-1.44386,-1.36
0.53,-1.44177,-1.34952
0.54,-1.43548,-1.33973
0.55,-1.43408,-1.32925
0.56,-1.42779,-1.32366
0.57,-1.4201,-1.30828
0.58,-1.41381,-1.2957
0.59,-1.40822,-1.28592
0.6,-1.40543,-1.26845
0.61,-1.39914,-1.25447
0.62,-1.39285,-1.23071
0.63,-1.38586,-1.21813
0.64,-1.37817,-1.20066
0.65,-1.36978,-1.17899
0.66,-1.3621,-1.15872
0.67,-1.35161,-1.13846
0.68,-1.34113,-1.1098
0.69,-1.32715,-1.08674
0.7,-1.31527,-1.05389
0.71,-1.2999,-1.02524
0.72,-1.28592,-0.9882
0.73,-1.26565,-0.95605
0.74,-1.24189,-0.9246
0.75,-1.21603,-0.89036
0.76,-1.19087,-0.85052
0.77,-1.15663,-0.81558
0.78,-1.12308,-0.77295
0.79,-1.08255,-0.7387
0.8,-1.03572,-0.68629
0.81,-0.98121,-0.63317
0.82,-0.9253,-0.58076
0.83,-0.8666,-0.52904
0.84,-0.79951,-0.46684
0.85,-0.72263,-0.39975
0.86,-0.64436,-0.32637
0.87,-0.56189,-0.2481
0.88,-0.47453,-0.16493
0.89,-0.38018,-0.07268
0.9,-0.28164,0.02935
0.91,-0.17681,0.13488
0.92,-0.07198,0.2446
0.93,0.03914,0.35852
0.94,0.15165,0.47733
0.95,0.26627,0.60312
0.96,0.38577,0.73381
0.97,0.50738,0.8617
0.98,0.63457,1.00357
0.99,0.76106,1.13915
1.0,0.88616,1.27822
1.01,1.02384,1.4173
1.02,1.15802,1.55847
1.03,1.2929,1.70523
1.04,1.42778,1.8443
1.05,1.56755,1.98477
1.06,1.71012,2.12315
1.07,1.85409,2.26642
1.08,1.99875,2.402
1.09,2.14621,2.52989
1.1,2.29717,2.63681
