Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.37607,-1.34043
-0.19,-1.37328,-1.33764
-0.18,-1.37398,-1.33694
-0.17,-1.37188,-1.33414
-0.16,-1.37118,-1.33205
-0.15,-1.36559,-1.32995
-0.14,-1.36559,-1.32785
-0.13,-1.36349,-1.32645
-0.12,-1.3635,-1.32436
-0.11,-1.3593,-1.32436
-0.1,-1.3586,-1.31807
-0.09,-1.35721,-1.31947
-0.08,-1.35511,-1.31108
-0.07,-1.35161,-1.31248
-0.06,-1.34882,-1.31038
-0.05,-1.34812,-1.30759
-0.04,-1.34812,-1.30619
-0.03,-1.34672,-1.30479
-0.02,-1.34323,-1.30339
-0.01,-1.34323,-1.2992
0.0,-1.33764,-1.2999
0.01,-1.33903,-1.2978
0.02,-1.33484,-1.29501
0.03,-1.33414,-1.29361
0.04,-1.33065,-1.28872
0.05,-1.32785,-1.28382
0.06,-1.33135,-1.28662
0.07,-1.32645,-1.28382
0.08,-1.32576,-1.28243
0.09,-1.32156,-1.27963
0.1,-1.31947,-1.27614
0.11,-1.31527,-1.27614
0.12,-1.31248,-1.27544
0.13,-1.31248,-1.27334
0.14,-1.31108,-1.27124
0.15,-1.31108,-1.26915
0.16,-1.30898,-1.26775
0.17,-1.30339,-1.26705
0.18,-1.30409,-1.26216
0.19,-1.30479,-1.25936
0.2,-1.2985,-1.25727
0.21,-1.2978,-1.25727
0.22,-1.2985,-1.25657
0.23,-1.29221,-1.25517
0.24,-1.29011,-1.25098
0.25,-1.28941,-1.25028
0.26,-1.28872,-1.24539
0.27,-1.28732,-1.24399
0.28,-1.28382,-1.24259
0.29,-1.28382,-1.2377
0.3,-1.28103,-1.2363
0.31,-1.28103,-1.2349
0.32,-1.28033,-1.23211
0.33,-1.27614,-1.23001
0.34,-1.27124,-1.22372
0.35,-1.26775,-1.22512
0.36,-1.26775,-1.22302
0.37,-1.26775,-1.21533
0.38,-1.25796,-1.21603
0.39,-1.26006,-1.21254
0.4,-1.25936,-1.20974
0.41,-1.25727,-1.20765
0.42,-1.25517,-1.20275
0.43,-1.25237,-1.19856
0.44,-1.24678,-1.19996
0.45,-1.24958,-1.18948
0.46,-1.24189,-1.18948
0.47,-1.24259,-1.18528
0.48,-1.24119,-1.18109
0.49,-1.2342,-1.1734
0.5,-1.2342,-1.16991
0.51,-1.23141,-1.16432
0.52,-1.22791,-1.15803
0.53,-1.22442,-1.15383
0.54,-1.21883,-1.14615
0.55,-1.21813,-1.13706
0.56,-1.21254,-1.12798
0.57,-1.20904,-1.11819
0.58,-1.20555,-1.10771
0.59,-1.20066,-1.10002
0.6,-1.19996,-1.08464
0.61,-1.19367,-1.07556
0.62,-1.19017,-1.05879
0.63,-1.18249,-1.04551
0.64,-1.18249,-1.02664
0.65,-1.1727,-1.01196
0.66,-1.16711,-0.99309
0.67,-1.15523,-0.97492
0.68,-1.14824,-0.95116
0.69,-1.13986,-0.93439
0.7,-1.13007,-0.90434
0.71,-1.12029,-0.87848
0.72,-1.10841,-0.85122
0.73,-1.09443,-0.82047
0.74,-1.07696,-0.79042
0.75,-1.0532,-0.75757
0.76,-1.03503,-0.72892
0.77,-1.00917,-0.69328
0.78,-0.97842,-0.65763
0.79,-0.94487,-0.62549
0.8,-0.91132,-0.57936
0.81,-0.86869,-0.54232
0.82,-0.81558,-0.4948
0.83,-0.76526,-0.44658
0.84,-0.70656,-0.39556
0.85,-0.64226,-0.33895
0.86,-0.57237,-0.27745
0.87,-0.49899,-0.21315
0.88,-0.42142,-0.13837
0.89,-0.33616,-0.05661
0.9,-0.2446,0.03005
0.91,-0.15445,0.1209
0.92,-0.05102,0.21315
0.93,0.05172,0.31659
0.94,0.15375,0.42491
0.95,0.26347,0.53253
0.96,0.3725,0.65064
0.97,0.4927,0.76945
0.98,0.60871,0.89175
0.99,0.72822,1.02174
1.0,0.84982,1.14893
1.01,0.97701,1.28102
1.02,1.10211,1.4138
1.03,1.22441,1.55008
1.04,1.35859,1.68426
1.05,1.48928,1.81565
1.06,1.61927,1.94704
1.07,1.75834,2.07982
1.08,1.90161,2.20981
1.09,2.04697,2.337
1.1,2.19443,2.44742
