Voltage (V),Forward Scan (mA),Reverse Scan (mA)
-0.2,-1.36489,-1.33764
-0.19,-1.3621,-1.33554
-0.18,-1.3628,-1.33484
-0.17,-1.3621,-1.33205
-0.16,-1.36349,-1.32995
-0.15,-1.3572,-1.32646
-0.14,-1.35721,-1.32366
-0.13,-1.35721,-1.32366
-0.12,-1.35301,-1.31877
-0.11,-1.35371,-1.31807
-0.1,-1.35161,-1.31947
-0.09,-1.34742,-1.31527
-0.08,-1.34532,-1.30968
-0.07,-1.34323,-1.30759
-0.06,-1.34532,-1.30619
-0.05,-1.33903,-1.30549
-0.04,-1.33764,-1.30339
-0.03,-1.33344,-1.30479
-0.02,-1.33834,-1.3013
-0.01,-1.33414,-1.2978
0.0,-1.33344,-1.2985
0.01,-1.32995,-1.29501
0.02,-1.32995,-1.29501
0.03,-1.32436,-1.28941
0.04,-1.32296,-1.28872
0.05,-1.32226,-1.28592
0.06,-1.32016,-1.28452
0.07,-1.32086,-1.28522
0.08,-1.31527,-1.28312
0.09,-1.31527,-1.28313
0.1,-1.31248,-1.27753
0.11,-1.31318,-1.27823
0.12,-1.30828,-1.27893
0.13,-1.30828,-1.27334
0.14,-1.30619,-1.27194
0.15,-1.30549,-1.26985
0.16,-1.30339,-1.26705
0.17,-1.30269,-1.26495
0.18,-1.29431,-1.26565
0.19,-1.2992,-1.26216
0.2,-1.2978,-1.25727
0.21,-1.29151,-1.25866
0.22,-1.29011,-1.25447
0.23,-1.28662,-1.25098
0.24,-1.28662,-1.24888
0.25,-1.28382,-1.24818
0.26,-1.28452,-1.25028
0.27,-1.27963,-1.24469
0.28,-1.28243,-1.24469
0.29,-1.27963,-1.23979
0.3,-1.27683,-1.23979
0.31,-1.27544,-1.2377
0.32,-1.26985,-1.23211
0.33,-1.27054,-1.22861
0.34,-1.26775,-1.22652
0.35,-1.26775,-1.22582
0.36,-1.26356,-1.22162
0.37,-1.26076,-1.21813
0.38,-1.25936,-1.21533
0.39,-1.25796,-1.21254
0.4,-1.25587,-1.20834
0.41,-1.25307,-1.20765
0.42,-1.25028,-1.20345
0.43,-1.24469,-1.19926
0.44,-1.24538,-1.19716
0.45,-1.24119,-1.19157
0.46,-1.23979,-1.18738
0.47,-1.2377,-1.18528
0.48,-1.23979,-1.18109
0.49,-1.23211,-1.1748
0.5,-1.23071,-1.16921
0.51,-1.22582,-1.16432
0.52,-1.22232,-1.16082
0.53,-1.22092,-1.15383
0.54,-1.21743,-1.14545
0.55,-1.21533,-1.13357
0.56,-1.20974,-1.12728
0.57,-1.20345,-1.11749
0.58,-1.20136,-1.10911
0.59,-1.20136,-1.10282
0.6,-1.19576,-1.08814
0.61,-1.19017,-1.07346
0.62,-1.18458,-1.06018
0.63,-1.17899,-1.04481
0.64,-1.1741,-1.03013
0.65,-1.1713,-1.01336
0.66,-1.16292,-0.99519
0.67,-1.15663,-0.97772
0.68,-1.14894,-0.95745
0.69,-1.13986,-0.93229
0.7,-1.13217,-0.90853
0.71,-1.12098,-0.88057
0.72,-1.10911,-0.85542
0.73,-1.09653,-0.82536
0.74,-1.07975,-0.79881
0.75,-1.06088,-0.76666
0.76,-1.04062,-0.73661
0.77,-1.01615,-0.70586
0.78,-0.98471,-0.67161
0.79,-0.95186,-0.63946
0.8,-0.91412,-0.59194
0.81,-0.87638,-0.5577
0.82,-0.82536,-0.51646
0.83,-0.77365,-0.47453
0.84,-0.71914,-0.42421
0.85,-0.65484,-0.37599
0.86,-0.58565,-0.31868
0.87,-0.51576,-0.25718
0.88,-0.43609,-0.19498
0.89,-0.35223,-0.1216
0.9,-0.26487,-0.04123
0.91,-0.16843,0.03774
0.92,-0.06849,0.1265
0.93,0.03005,0.21805
0.94,0.13698,0.31449
0.95,0.246,0.41792
0.96,0.35852,0.52275
0.97,0.47383,0.63597
0.98,0.59334,0.74988
0.99,0.71144,0.86729
1.0,0.83375,0.99309
1.01,0.96024,1.11399
1.02,1.08673,1.24258
1.03,1.21183,1.37047
1.04,1.34671,1.49767
1.05,1.4774,1.63325
1.06,1.61088,1.76114
1.07,1.74297,1.89182
1.08,1.88554,2.01902
1.09,2.02181,2.14691
1.1,2.16438,2.2741
